rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
11,char,burrows_delta,350,491,0.40567585491864194,-2.3133741934298544,Kvra
12,mfw,cosine_delta,190,491,-0.3037350254081029,-2.7289244636726218,Koba LaD
12,mfw,burrows_delta,203,491,-0.274791329348117,-2.314876125694586,Assaf
12,char,cosine_delta,69,491,-1.0794545471616968,-2.3228206391775212,Djadja & Dinaz
12,char,burrows_delta,334,491,0.3357701946681719,-2.6973788384686777,L’Entourage
13,mfw,cosine_delta,134,491,-0.5856770841397156,-2.984475516680826,Kerchak
13,mfw,burrows_delta,220,491,-0.19767725534984992,-2.2316814938762257,Panama Bende
13,char,cosine_delta,67,491,-1.193860308888416,-3.2000362453145077,Kerchak
13,char,burrows_delta,348,491,0.40731281733338526,-2.151100092215737,Panama Bende
14,mfw,cosine_delta,158,491,-0.5131090683725017,-2.5987274240565665,Werenoi
14,mfw,burrows_delta,200,491,-0.31754987433309073,-2.8643750392947585,Dibson
14,char,cosine_delta,103,491,-0.8910956893637922,-2.37518137051886,Zkr
14,char,burrows_delta,332,491,0.3093514832690383,-2.810190595587943,Dibson
15,mfw,cosine_delta,133,491,-0.608043183844478,-2.917008443980223,Kerchak
15,mfw,burrows_delta,194,491,-0.3344190276449962,-2.447515151455231,Panama Bende
15,char,cosine_delta,80,491,-1.068959343152794,-2.8501198210426026,UZI (FRA)
15,char,burrows_delta,343,491,0.43345421902866527,-2.7520023478514952,L’Entourage
16,mfw,cosine_delta,161,491,-0.44108048271890693,-2.936583923833718,Djadja & Dinaz
16,mfw,burrows_delta,203,491,-0.30625163200905947,-2.6510721643800608,Guizmo
16,char,cosine_delta,73,491,-1.1281321054419953,-2.880341866357502,Beendo Z
16,char,burrows_delta,354,491,0.44642847350660764,-2.2453544118960616,Guizmo
17,mfw,cosine_delta,178,491,-0.37076176062281774,-2.7179867864939764,Lemon Haze
17,mfw,burrows_delta,216,491,-0.26050249495591954,-2.610255300564959,Zkr
17,char,cosine_delta,123,491,-0.7694785300832636,-2.6317383145779987,Kerchak
17,char,burrows_delta,348,491,0.41208657490095574,-2.0913801927636246,Nahir
18,mfw,cosine_delta,146,491,-0.5519691917227906,-3.350277435950567,Soso Maness
18,mfw,burrows_delta,205,491,-0.3522842682428914,-2.0540520649795457,Assaf
