rep,features,metric,top1,distance_top1,sep_top1,marge_top1_top2
25,mfw,burrows_delta,Zkr,0.6950702756611928,-2.106911765207535,0.024202037024535716
25,char,cosine_delta,Beendo Z,0.813198266197604,-2.3401961175659163,0.006266373316328733
25,char,burrows_delta,Zkr,0.7736941536939436,-1.9643195173132328,0.01991435689955967
26,mfw,cosine_delta,Lacrim,0.770444126997114,-2.5110197451567893,0.00866334001100566
26,mfw,burrows_delta,Zkr,0.6625776458716601,-2.3958543412426847,0.02977069973200963
26,char,cosine_delta,Werenoi,0.8033027131439335,-2.499832858169854,0.010188767024532086
26,char,burrows_delta,Zkr,0.7597916845178215,-2.0737638801955525,0.01144994307058278
27,mfw,cosine_delta,Soso Maness,0.7413712775804211,-2.77598924946603,0.0009155986424385087
27,mfw,burrows_delta,ISK,0.6959826794636372,-2.1313300342514956,0.013581074492270973
27,char,cosine_delta,Beendo Z,0.802897590149812,-2.5089299710016153,0.017665027509193076
27,char,burrows_delta,ISK,0.7554670248871083,-2.1563604514106154,0.01617505521962237
28,mfw,cosine_delta,GLK,0.7649397099012245,-2.5071683774869777,0.017780436908379715
28,mfw,burrows_delta,GLK,0.6844071398766106,-2.211639719018457,0.008156109035544201
28,char,cosine_delta,Beendo Z,0.8063876516233478,-2.461447415433279,0.011622343431662463
28,char,burrows_delta,Worms-T,0.7657805235310122,-2.0116688755962526,0.02383222645784644
29,mfw,cosine_delta,Soso Maness,0.7861955981456714,-2.318991475112058,0.006966121442229967
29,mfw,burrows_delta,Zkr,0.6854991752374995,-2.2101531432642925,0.019633983643687736
29,char,cosine_delta,Kerchak,0.825062942237838,-2.2110438922815905,0.003670460041287682
29,char,burrows_delta,Panama Bende,0.7741221962460006,-1.872434437229759,0.0025207933949404904
