rep,features,metric,rang,artiste,distance
2,mfw,burrows_delta,9,RK,0.7341428933211667
2,mfw,burrows_delta,10,Sneazzy,0.7352968551791895
2,mfw,burrows_delta,11,SCH,0.7363361925079155
2,mfw,burrows_delta,12,Nahir,0.7404279886578249
2,mfw,burrows_delta,13,ISK,0.7405732304703553
2,mfw,burrows_delta,14,Sadek,0.7431379550064721
2,mfw,burrows_delta,15,Worms-T,0.7446694972987964
2,mfw,burrows_delta,16,Ninho,0.7453379005446161
2,mfw,burrows_delta,17,Yaro,0.7454346836000117
2,mfw,burrows_delta,18,Seth Gueko,0.7483435558718186
2,mfw,burrows_delta,19,Davodka,0.7517209547176994
2,mfw,burrows_delta,20,Mister You,0.7528030688665306
2,mfw,burrows_delta,21,Soso Maness,0.7538057048407877
2,mfw,burrows_delta,22,Kaaris,0.7554343308058039
2,mfw,burrows_delta,23,Rohff,0.7558621086501314
2,mfw,burrows_delta,24,GLK,0.7566719250620533
2,mfw,burrows_delta,25,MMZ,0.7583467902668031
2,char,cosine_delta,1,Werenoi,0.8292403974795838
2,char,cosine_delta,2,Kerchak,0.8318793150261966
2,char,cosine_delta,3,Zkr,0.844000570190445
2,char,cosine_delta,4,UZI (FRA),0.850813241955058
2,char,cosine_delta,5,Beendo Z,0.8512627395226451
2,char,cosine_delta,6,Maes,0.8566052497353994
2,char,cosine_delta,7,Zbig,0.8590116195033891
2,char,cosine_delta,8,Worms-T,0.8604336812677786
2,char,cosine_delta,9,Lesram,0.8607680865430454
2,char,cosine_delta,10,ISK,0.8618620384104103
2,char,cosine_delta,11,ASHE 22,0.864667873293509
2,char,cosine_delta,12,Fresh laDouille,0.86520684590568
2,char,cosine_delta,13,​​okis,0.8671431326101051
2,char,cosine_delta,14,Heuss L’enfoiré,0.868230800846512
2,char,cosine_delta,15,SCH,0.8695168834336298
2,char,cosine_delta,16,Zola,0.8706203895515542
2,char,cosine_delta,17,SDM,0.8707861375877878
2,char,cosine_delta,18,Seth Gueko,0.8710129864338757
2,char,cosine_delta,19,Ninho,0.8742366355938245
2,char,cosine_delta,20,4Keus,0.8766408255180381
2,char,cosine_delta,21,Diddi Trix,0.8778479452809199
2,char,cosine_delta,22,RK,0.8815017060831628
2,char,cosine_delta,23,​DA Uzi,0.8829106952165904
2,char,cosine_delta,24,GLK,0.8848653453073048
2,char,cosine_delta,25,Hooss,0.8849376034183143
2,char,burrows_delta,1,Zkr,0.7634268301608494
2,char,burrows_delta,2,Dibson,0.7736629197622791
2,char,burrows_delta,3,Worms-T,0.7759554587067075
2,char,burrows_delta,4,Nahir,0.7928720257243276
2,char,burrows_delta,5,Panama Bende,0.7986944436923503
2,char,burrows_delta,6,S.Pri Noir,0.7995872085206489
2,char,burrows_delta,7,Niro,0.8016656496114053
2,char,burrows_delta,8,Rohff,0.8099779829440107
2,char,burrows_delta,9,5 Majeur,0.8136102265834936
2,char,burrows_delta,10,Deen Burbigo,0.8139866001275189
2,char,burrows_delta,11,Sam’s,0.8152589664282501
2,char,burrows_delta,12,Ninho,0.8166802584768282
2,char,burrows_delta,13,Lesram,0.8172592638898843
2,char,burrows_delta,14,Zola,0.8183012471627602
2,char,burrows_delta,15,Beeby,0.8200800247508417
2,char,burrows_delta,16,Guizmo,0.8234052398565139
2,char,burrows_delta,17,Denzo,0.8258981304092133
2,char,burrows_delta,18,JuL,0.8260465497253745
2,char,burrows_delta,19,Niaks,0.8270969643353916
2,char,burrows_delta,20,ISK,0.8277460440306292
2,char,burrows_delta,21,Zikxo,0.8296322923515145
2,char,burrows_delta,22,Mister You,0.8300054318382093
2,char,burrows_delta,23,Népal,0.8310731819925709
2,char,burrows_delta,24,4Keus,0.8314920915982029
2,char,burrows_delta,25,SCH,0.8321926736752496
3,mfw,cosine_delta,1,SCH,0.7477702326991328
3,mfw,cosine_delta,2,UZI (FRA),0.7798389771629448
3,mfw,cosine_delta,3,Kerchak,0.7951243762279079
3,mfw,cosine_delta,4,Beendo Z,0.7976173613377033
3,mfw,cosine_delta,5,GLK,0.8037537522010524
3,mfw,cosine_delta,6,Werenoi,0.8085469934944787
3,mfw,cosine_delta,7,Soso Maness,0.8179342740060411
3,mfw,cosine_delta,8,Elh Kmer,0.8228559879847044
3,mfw,cosine_delta,9,ISK,0.8234744769669777
3,mfw,cosine_delta,10,Zkr,0.8296077888996858
3,mfw,cosine_delta,11,ASHE 22,0.8303458389010858
3,mfw,cosine_delta,12,Mister You,0.8358252162205475
3,mfw,cosine_delta,13,​DA Uzi,0.836136161569585
3,mfw,cosine_delta,14,Hooss,0.8365014988412535
3,mfw,cosine_delta,15,Bosh,0.8385512588867448
3,mfw,cosine_delta,16,Octobre Rouge,0.840790502429469
3,mfw,cosine_delta,17,​​okis,0.8419464263815768
3,mfw,cosine_delta,18,Hornet La Frappe,0.8441056011912196
3,mfw,cosine_delta,19,Lesram,0.8463150932372094
3,mfw,cosine_delta,20,Heuss L’enfoiré,0.852745655943841
3,mfw,cosine_delta,21,Moha La Squale,0.8533108091344486
3,mfw,cosine_delta,22,So La Lune,0.8560529374936876
3,mfw,cosine_delta,23,Landy,0.8574848748316877
3,mfw,cosine_delta,24,100 Blaze,0.8584347686215654
3,mfw,cosine_delta,25,Worms-T,0.8586567338033442
3,mfw,burrows_delta,1,Zkr,0.6945122238049292
3,mfw,burrows_delta,2,ISK,0.6996856282726487
3,mfw,burrows_delta,3,SCH,0.7137750927226214
3,mfw,burrows_delta,4,Dibson,0.717709463283168
3,mfw,burrows_delta,5,GLK,0.7184437664749321
3,mfw,burrows_delta,6,Beendo Z,0.7213754853048843
3,mfw,burrows_delta,7,Panama Bende,0.7218104607645119
3,mfw,burrows_delta,8,UZI (FRA),0.7363376295367198
3,mfw,burrows_delta,9,Deen Burbigo,0.7404783447744637
3,mfw,burrows_delta,10,YL,0.7407849262962917
3,mfw,burrows_delta,11,ASHE 22,0.7408585109352135
3,mfw,burrows_delta,12,Sofiane,0.7408896021243947
3,mfw,burrows_delta,13,Mister V,0.7419558240388335
3,mfw,burrows_delta,14,Denzo,0.7433685665651951
3,mfw,burrows_delta,15,Hayce Lemsi,0.7489245835625141
3,mfw,burrows_delta,16,Maes,0.7521968527974605
3,mfw,burrows_delta,17,Worms-T,0.752824438655404
3,mfw,burrows_delta,18,Mister You,0.7541416033456353
3,mfw,burrows_delta,19,Vin’s,0.7552076691064628
3,mfw,burrows_delta,20,JuL,0.7556696867363246
3,mfw,burrows_delta,21,​DA Uzi,0.7592775452462857
3,mfw,burrows_delta,22,Sadek,0.760704987789465
3,mfw,burrows_delta,23,Soso Maness,0.76192162134189
3,mfw,burrows_delta,24,Lesram,0.7622642706353701
3,mfw,burrows_delta,25,Nekfeu,0.7650191415821418
3,char,cosine_delta,1,Kerchak,0.8071111374052758
3,char,cosine_delta,2,UZI (FRA),0.82173907416878
3,char,cosine_delta,3,Beendo Z,0.8271750586558295
3,char,cosine_delta,4,Lesram,0.8390960072360478
3,char,cosine_delta,5,ASHE 22,0.8406819422346075
3,char,cosine_delta,6,SCH,0.8437667333402887
3,char,cosine_delta,7,ISK,0.84389985377392
3,char,cosine_delta,8,Timal,0.8446390453708196
3,char,cosine_delta,9,Maes,0.8546348100727373
3,char,cosine_delta,10,Zkr,0.8569178967274363
3,char,cosine_delta,11,Diddi Trix,0.8572896753422801
3,char,cosine_delta,12,Zola,0.8631339764000029
3,char,cosine_delta,13,Elh Kmer,0.8663442119881797
3,char,cosine_delta,14,Worms-T,0.8665322730027287
3,char,cosine_delta,15,Werenoi,0.86698528095337
3,char,cosine_delta,16,Zbig,0.8680017497209835
3,char,cosine_delta,17,Deen Burbigo,0.8688974183364917
3,char,cosine_delta,18,SDM,0.8693001640901188
3,char,cosine_delta,19,Kofs,0.8783567998361446
3,char,cosine_delta,20,Seth Gueko,0.8796023931406995
3,char,cosine_delta,21,​DA Uzi,0.8836793955182679
3,char,cosine_delta,22,​​okis,0.8842019480135613
3,char,cosine_delta,23,Djadja & Dinaz,0.8842903743849045
3,char,cosine_delta,24,Heuss L’enfoiré,0.8859875117890316
3,char,cosine_delta,25,F430,0.8875393373415076
3,char,burrows_delta,1,Worms-T,0.7849712899299038
3,char,burrows_delta,2,S-Crew,0.7851051497773527
3,char,burrows_delta,3,ISK,0.7876123135904564
3,char,burrows_delta,4,Panama Bende,0.7920885748773234
3,char,burrows_delta,5,Deen Burbigo,0.7925630885176375
3,char,burrows_delta,6,Lesram,0.7957071986263944
3,char,burrows_delta,7,Zkr,0.7994324278824596
3,char,burrows_delta,8,YL,0.8038351086627826
3,char,burrows_delta,9,SCH,0.8045682144278019
3,char,burrows_delta,10,S.Pri Noir,0.8131072863835945
3,char,burrows_delta,11,Dibson,0.8134745845137643
3,char,burrows_delta,12,5 Majeur,0.8145486870316615
3,char,burrows_delta,13,Nekfeu,0.8173640918754467
3,char,burrows_delta,14,Sadek,0.8176948412229247
3,char,burrows_delta,15,Vin’s,0.8187127816810195
3,char,burrows_delta,16,Mister You,0.8204493778691572
3,char,burrows_delta,17,Zola,0.8225548969306754
3,char,burrows_delta,18,Seth Gueko,0.8231012992171042
3,char,burrows_delta,19,​DA Uzi,0.8231633210916058
3,char,burrows_delta,20,Nahir,0.8253741617273014
3,char,burrows_delta,21,Beeby,0.8259547231294592
3,char,burrows_delta,22,Ademo,0.8286457268820322
3,char,burrows_delta,23,Hayce Lemsi,0.828893063302324
3,char,burrows_delta,24,Beendo Z,0.8298251326588761
3,char,burrows_delta,25,Népal,0.830357433608811
4,mfw,cosine_delta,1,Beendo Z,0.7729136936521424
4,mfw,cosine_delta,2,Kerchak,0.7783654233811312
4,mfw,cosine_delta,3,Ninho,0.7808096699407181
4,mfw,cosine_delta,4,Lesram,0.7953821740666329
4,mfw,cosine_delta,5,Fresh laDouille,0.7983405039827169
4,mfw,cosine_delta,6,Timal,0.8046768452145128
4,mfw,cosine_delta,7,UZI (FRA),0.8116699029704335
4,mfw,cosine_delta,8,Soso Maness,0.811815091301388
4,mfw,cosine_delta,9,Werenoi,0.8187458024030649
4,mfw,cosine_delta,10,SCH,0.8199611269992391
4,mfw,cosine_delta,11,Lacrim,0.8338302007427817
4,mfw,cosine_delta,12,ASHE 22,0.835131021149496
4,mfw,cosine_delta,13,SDM,0.8367617641609049
4,mfw,cosine_delta,14,Sofiane,0.8401671519988823
4,mfw,cosine_delta,15,Elh Kmer,0.8423290052636752
4,mfw,cosine_delta,16,Djadja & Dinaz,0.8444509407401128
4,mfw,cosine_delta,17,Maes,0.8444962423569976
4,mfw,cosine_delta,18,Mister You,0.8458707279228547
4,mfw,cosine_delta,19,Worms-T,0.8476841100821679
4,mfw,cosine_delta,20,ISK,0.8505068174315191
4,mfw,cosine_delta,21,Denzo,0.8518389355530038
4,mfw,cosine_delta,22,Roshi,0.8552741761384715
4,mfw,cosine_delta,23,GLK,0.8552848285973302
4,mfw,cosine_delta,24,Grems,0.8614233933474634
4,mfw,cosine_delta,25,Moha La Squale,0.8636086338470972
4,mfw,burrows_delta,1,Lacrim,0.6970894229349385
4,mfw,burrows_delta,2,Zkr,0.7115532640933679
4,mfw,burrows_delta,3,Sofiane,0.7190814123062771
4,mfw,burrows_delta,4,Dibson,0.7204154921049669
4,mfw,burrows_delta,5,Denzo,0.728144226298127
4,mfw,burrows_delta,6,Panama Bende,0.7287765774373477
4,mfw,burrows_delta,7,GLK,0.7292191333488935
4,mfw,burrows_delta,8,Beendo Z,0.7310269604780912
4,mfw,burrows_delta,9,Guizmo,0.739883913926217
4,mfw,burrows_delta,10,ISK,0.7450300617456054
4,mfw,burrows_delta,11,Deen Burbigo,0.7458628804416192
4,mfw,burrows_delta,12,Zikxo,0.7469834847079742
4,mfw,burrows_delta,13,Lesram,0.747976085811666
4,mfw,burrows_delta,14,S-Crew,0.75075882185878
4,mfw,burrows_delta,15,Ninho,0.7529994124840678
4,mfw,burrows_delta,16,Grems,0.7544277048133332
4,mfw,burrows_delta,17,Nahir,0.7546263527548638
4,mfw,burrows_delta,18,SCH,0.7556778340281128
4,mfw,burrows_delta,19,Worms-T,0.7576309651882311
4,mfw,burrows_delta,20,Hugo TSR,0.7585395132911914
4,mfw,burrows_delta,21,Seth Gueko,0.7601168525441233
4,mfw,burrows_delta,22,Djadja & Dinaz,0.7613385115398243
4,mfw,burrows_delta,23,Alonzo,0.7632399821813298
4,mfw,burrows_delta,24,JuL,0.7650509243995609
4,mfw,burrows_delta,25,Vin’s,0.7651733147720609
4,char,cosine_delta,1,Beendo Z,0.799552525943923
4,char,cosine_delta,2,Kerchak,0.8024747107199615
4,char,cosine_delta,3,RK,0.8376127718955549
4,char,cosine_delta,4,UZI (FRA),0.8389035041921006
4,char,cosine_delta,5,Fresh laDouille,0.8428581770116074
4,char,cosine_delta,6,ASHE 22,0.8434046419189016
4,char,cosine_delta,7,Worms-T,0.8435756655857081
4,char,cosine_delta,8,Zkr,0.8477867413005157
4,char,cosine_delta,9,ISK,0.8507805819875426
4,char,cosine_delta,10,Werenoi,0.8508512738845231
4,char,cosine_delta,11,​DA Uzi,0.8547420360767106
4,char,cosine_delta,12,Roshi,0.862670236183966
4,char,cosine_delta,13,Ninho,0.8641520244549753
4,char,cosine_delta,14,Diddi Trix,0.8648396721869565
4,char,cosine_delta,15,Maes,0.8705197479232488
4,char,cosine_delta,16,Lesram,0.8709177545641367
4,char,cosine_delta,17,​​okis,0.8731961207291925
4,char,cosine_delta,18,SCH,0.8824892550981981
4,char,cosine_delta,19,Bosh,0.8826051558226576
4,char,cosine_delta,20,Djadja & Dinaz,0.8851314692351464
