year,pageviews_mean,pageviews_median,pageviews_std,contributors_mean,contributors_median,contributors_std,ranking_mean,ranking_median,ranking_std,n_je_mean,n_je_median,n_je_std,n_profanity_mean,n_profanity_median,n_profanity_std,n_verlan_mean,n_verlan_median,n_verlan_std,n_french_words_mean,n_french_words_median,n_french_words_std,means_word_length_mean,means_word_length_median,means_word_length_std,n_unique_words_mean,n_unique_words_median,n_unique_words_std,n_words_mean,n_words_median,n_words_std,pageviews_corrected_mean,pageviews_corrected_median,pageviews_corrected_std,n_non_french_words_mean,n_non_french_words_median,n_non_french_words_std,n_argot_mean,n_argot_median,n_argot_std,n_onomatopee_mean,n_onomatopee_median,n_onomatopee_std,n_negative_mean,n_negative_median,n_negative_std,n_positive_mean,n_positive_median,n_positive_std,birthdate_artist_mean,birthdate_artist_median,birthdate_artist_std,age_artist_mean,age_artist_median,age_artist_std,pageview_mean_mean,pageview_mean_median,pageview_mean_std,pageviews_2_mean,pageviews_2_median,pageviews_2_std,n_sexe_mean,n_sexe_median,n_sexe_std,hate_mean,hate_median,hate_std,sexism_mean,sexism_median,sexism_std,n_lines_mean,n_lines_median,n_lines_std,sentiment2_mean,sentiment2_median,sentiment2_std,born_in_france_mean,born_in_france_median,born_in_france_std
1998,5423.316091954023,0.0,15644.961769347703,8.801724137931034,6.0,8.02613148684607,1983.7482517482517,1640.5,1580.7931896140833,18.905172413793103,16.0,13.81640326226889,3.3017241379310347,2.0,4.14899695024391,6.060344827586207,5.0,5.386966007187686,628.2183908045977,643.5,254.8129641374314,3.964494230849836,3.9541000353503,0.28993992119525897,299.2758620689655,307.0,105.14907103262561,667.4396551724138,690.0,267.85868641302727,4.494724889787059,2.78627355600385,3.134199540761062,39.22126436781609,30.5,30.96749074631318,11.005747126436782,10.0,7.987379906372532,0.47126436781609193,0.0,1.8146955696755003,24.094827586206897,21.0,15.294597065428661,20.42816091954023,19.0,11.154818814090307,1972.3090909090909,1974.0,3.7637847159511257,25.69090909090909,24.0,3.7637847159510347,2.24421366641941,2.24421366641941,0.0,2.0560875021604748,0.0,3.7616006304269494,1.2270114942528736,1.0,1.7634343064547717,0.29601002090026524,0.289897443583378,0.07263279659270817,0.2178472686839266,0.203671062408492,0.11544542744952195,72.27298850574712,72.0,30.578997995693335,-0.22783353789035757,-0.225093094602464,0.19495740494558406,0.7273386511965192,1.0,0.4379863964800582
1999,2032.3726235741444,0.0,9972.718813461926,5.361216730038023,4.0,5.164723417528414,1911.1447963800906,1574.0,1480.0757526167918,22.517110266159698,18.0,17.35723368175974,3.9847908745247147,2.0,6.872319508957573,6.650190114068441,6.0,5.425349565018827,673.0380228136883,674.0,284.2920201961724,3.9491365719081193,3.9092970521542,0.2929080525939799,312.47528517110266,309.0,108.21958856268999,718.574144486692,714.0,295.2780181984954,3.494633907915857,2.80431418163322,2.1493259523951673,45.536121673003805,35.0,37.77390587500636,12.946768060836503,11.0,10.463541712228997,0.6045627376425855,0.0,2.2588878949191624,25.46768060836502,24.0,16.092228849128208,21.73764258555133,21.0,12.918844945533221,1972.6349206349207,1972.0,4.868844913698721,26.365079365079364,27.0,4.868844913698809,0.909117797924107,0.909117797924107,0.0,0.9181740928473502,0.0,2.8499295040041797,1.4980988593155893,1.0,2.654212444419851,0.2956884418097434,0.291595619994325,0.08318655155178091,0.23081053580876773,0.221018854801248,0.12058751292354425,73.82889733840304,73.0,28.858519081696787,-0.22446795172862546,-0.240044692357381,0.19619963771500393,0.5727726574500768,1.0,0.470673641085976
2000,5609.557312252964,0.0,21765.92530171317,6.790513833992095,4.0,9.566786384102754,1980.911214953271,1855.5,1444.7388400759044,18.723320158102766,16.0,16.150658791795365,3.7233201581027666,2.0,4.609614009194123,6.932806324110672,5.0,6.507583399117353,635.6363636363636,628.0,262.8591763833757,3.9070046128726963,3.86286594761171,0.31441338096797594,287.7154150197629,296.0,99.13001543350488,680.2687747035573,689.0,276.8442181521702,3.8432581328060658,2.83776639440313,2.670925129861103,44.63241106719368,35.0,41.592067230005206,12.272727272727273,9.0,10.655533963176321,0.4743083003952569,0.0,1.9811442540530309,24.09090909090909,23.0,15.24312349398291,20.67193675889328,19.0,12.10236936512652,1975.3904761904762,1976.0,3.232929244791948,24.60952380952381,24.0,3.232929244792021,1.29666332540289,1.29666332540289,0.0,1.2638060945054033,0.0,3.346402308487502,1.4624505928853755,1.0,3.157815500099445,0.2796761752492623,0.269178405154424,0.07274739828742062,0.22457533565047716,0.210367278334609,0.11236231603592912,71.3399209486166,73.0,29.233512976481414,-0.2514139189919786,-0.252769976381272,0.20152031749490407,0.8746232670283304,1.0,0.32671865035136877
2001,3729.8104575163397,0.0,14100.22977292221,7.401960784313726,5.0,8.548331027506725,2062.9922178988327,1929.0,1438.3385977627806,17.091503267973856,14.0,13.743962955886344,3.712418300653595,2.0,4.613129093607391,6.07516339869281,5.0,5.302418638304248,597.90522875817,578.0,278.81113092319106,3.9612720724719077,3.93782364872927,0.3034396412758165,285.53921568627453,292.5,106.93181571069532,639.8202614379085,633.0,287.43119555520076,4.108655300075178,2.87397086802641,2.754676512711137,41.91503267973856,28.5,38.28862737670771,11.339869281045752,9.0,10.308782439875847,0.3333333333333333,0.0,0.9338796215471155,24.50653594771242,23.0,16.301713369479618,20.124183006535947,19.0,11.637598908139365,1974.3229813664595,1974.0,4.2213778622507485,26.677018633540374,27.0,4.2213778622507405,1.62583420827666,1.62583420827666,0.0,1.5432520811914263,0.0,3.4335245575126074,1.3235294117647058,1.0,2.1293965806051185,0.29235876523503174,0.286289151401079,0.07303156257379095,0.23993084480941532,0.2373401445719195,0.12301437583698831,65.9281045751634,64.5,27.692599372434184,-0.25642802251878016,-0.246328422774588,0.20064357797798496,0.6781609195402298,1.0,0.46852993250660185
2002,4481.143266475645,0.0,18816.15874238141,5.982808022922636,3.0,9.548710096455034,1984.5656565656566,1756.0,1406.450286601488,18.214899713467048,15.0,15.348900380087322,3.659025787965616,2.0,4.609592717930203,5.083094555873926,4.0,4.60403067346243,588.3438395415473,585.0,242.35034924560853,3.969957743299028,3.90390879478827,0.3790371528740708,280.4670487106017,278.0,95.29806343179837,627.4097421203438,625.0,252.21975689245153,3.749154047267271,2.90026827621589,2.4575053044617925,39.06590257879656,32.0,32.8808142116397,10.005730659025788,8.0,7.994608193565602,0.7908309455587392,0.0,3.712254736287045,22.808022922636102,21.0,14.187591463659464,19.84813753581662,18.0,12.222429834590558,1972.5281690140846,1975.5,7.510459526385231,29.471830985915492,26.5,7.510459526385373,1.09953025981224,1.09953025981224,0.0,1.0891998928048767,0.0,3.140413474400221,1.5816618911174785,1.0,2.377409628256413,0.2934183656663618,0.287401622349473,0.07162088054730599,0.23193641368796172,0.21824486018719402,0.11162398424756531,66.34383954154728,68.0,26.37727705783282,-0.2263309541232096,-0.221158675137961,0.20999107626974334,0.675531914893617,1.0,0.45398285051972
2003,2836.2190476190476,0.0,12102.839335483546,6.3841269841269845,4.0,7.353780741497175,2177.4774436090224,1980.5,1524.2348038360556,20.53968253968254,17.0,16.748063294086265,3.342857142857143,2.0,4.513592856379206,5.965079365079365,5.0,5.813068922370432,625.9111111111112,620.0,277.74684614760247,3.912581323157266,3.90162037037037,0.28495962278624576,288.1111111111111,280.0,115.68014202236974,670.1746031746031,665.0,292.55760713588455,3.8577428845630672,2.93183954270896,2.449964779152646,44.263492063492066,32.0,40.46666986462144,11.53968253968254,10.0,10.818457624661892,2.041269841269841,0.0,10.955681347884319,23.425396825396824,20.0,16.28106993712152,20.107936507936508,20.0,11.432483912238812,1974.3309859154929,1976.0,4.997477137964877,28.669014084507044,27.0,4.9974771379648235,1.2181920660096,1.2181920660096,0.0,1.1931319816227506,0.0,3.14768342482667,1.4603174603174602,1.0,2.240517149309557,0.2926853721258281,0.290821026872706,0.07256949671308899,0.23973505495243813,0.230930874424596,0.12003434959243946,71.26666666666667,70.0,29.68398311384753,-0.21731049051620252,-0.244354714820911,0.22509324163265515,0.7855596784168212,1.0,0.3860199896051728
2004,3860.863534675615,0.0,13604.347341528697,6.492170022371365,4.0,7.464373168934434,2070.4393530997304,1745.0,1387.6797116492057,17.86577181208054,14.0,17.31610271534164,3.228187919463087,2.0,4.109685822665724,5.881431767337808,4.0,5.6542209884125265,578.5838926174497,560.0,318.09116287851424,3.943674448050081,3.88768115942029,0.5357756901035032,271.18120805369125,270.0,119.5059741282794,623.6308724832214,602.0,339.68889121013206,4.1339418282864075,2.96871229791611,2.7269370019764665,45.04697986577181,31.0,45.19424973896793,10.272930648769576,8.0,9.593615036251425,0.9530201342281879,0.0,4.1448042527139535,21.76957494407159,20.0,16.06162922081673,20.073825503355703,18.0,14.469278089347855,1975.7222222222222,1977.0,4.4599668550142155,28.27777777777778,27.0,4.4599668550142955,1.5257023884465,1.5257023884465,0.0,1.4595526254224536,0.0,3.406798165806561,1.680089485458613,1.0,3.1098183862666064,0.2976239347034048,0.289706580340862,0.08535004432800536,0.24689868861988165,0.230358455195484,0.12483606805478212,65.8993288590604,64.0,33.97804849925344,-0.21293916170865973,-0.225807832011694,0.2314808336834053,0.7371943371943371,1.0,0.43846673565724814
2005,2940.1308411214955,0.0,12838.252598994246,6.418691588785046,5.0,6.278524881638089,1956.9848156182213,1731.0,1414.735391523731,20.581308411214952,17.0,17.317816434964207,3.6579439252336448,2.0,4.398332110318066,6.160747663551402,5.0,5.413289186297388,626.9233644859813,613.0,258.0608537309745,3.961521963960911,3.89625360230548,0.3312822380877865,286.69345794392524,290.0,95.40901235611496,673.56261682243,662.0,266.71721074950045,4.025918884010142,2.97549727555988,2.5623806722095517,46.6392523364486,36.0,37.562167587838715,11.738317757009346,10.0,9.393136836896874,0.8448598130841122,0.0,3.5936177728772556,24.55140186915888,22.0,13.937953495996128,20.39626168224299,18.0,11.605080293584042,1977.6208178438662,1978.0,3.352056296989615,27.37918215613383,27.0,3.352056296989636,1.38600268639866,1.38600268639866,0.0,1.3384171956943614,0.0,3.256419278752323,1.4934579439252336,1.0,2.0716234667578917,0.30086505425992294,0.292351124638861,0.07808268706478906,0.25461757141663455,0.248732705795488,0.12050450630777752,69.14018691588785,68.0,25.84795958961307,-0.2606750421391011,-0.278955936883435,0.19415090327406012,0.7710970464135022,1.0,0.40455265306989036
2006,4001.2683658170913,0.0,18748.61486627338,7.319340329835082,5.0,7.563840456214331,2036.0795660036167,1846.0,1437.8540386323662,18.35832083958021,15.0,16.063376794841837,3.911544227886057,2.0,4.6190916500801045,5.886056971514243,5.0,5.351509052958478,605.2173913043479,595.0,240.41381828300283,3.981240939652603,3.92014742014742,0.3355776921176415,283.9325337331334,285.0,92.02196470416722,649.2128935532234,641.0,248.432847130178,4.128928053420985,2.91680520936281,2.737832371151366,43.99550224887556,35.0,35.84725240887208,11.923538230884558,10.0,9.132088792843787,0.638680659670165,0.0,3.078044414216054,23.659670164917543,22.0,14.077314675733936,19.148425787106447,17.0,12.36204995337199,1977.2083333333333,1978.0,3.8821937833431397,28.791666666666668,28.0,3.882193783343196,1.5951747602473803,1.59517476024738,0.0,1.5174699567074685,0.0,3.4171622057362008,1.6221889055472263,1.0,2.9745647482847954,0.30541852531343877,0.299167416843714,0.0785828528947406,0.2516535662474094,0.239804707859692,0.12003316661897824,66.6086956521739,66.0,23.888029267608395,-0.27107564673170037,-0.287270420247858,0.19259531415127068,0.8206824964318152,1.0,0.38212031001375385
2007,2797.630490956072,0.0,12820.701499311097,5.8824289405684755,4.0,6.301635451040939,2174.04368174727,1963.0,1452.3870377636683,17.085271317829456,13.0,15.52123163369899,3.785529715762274,2.0,5.444581190266902,5.524547803617571,4.0,5.2634394718084305,572.1111111111111,564.5,233.9560402656267,3.9582598731572167,3.91108144448713,0.3960366350955531,267.8720930232558,269.0,89.74917136633333,615.4625322997416,612.0,246.30275759785184,3.6973800046964005,2.8105229980112,2.4052800336642393,43.35142118863049,35.0,35.20831397751556,11.462532299741602,9.5,9.64079392069635,0.8036175710594315,0.0,3.1875708389867845,21.8953488372093,20.0,13.577363173968815,17.885012919896642,16.0,11.252067002859148,1976.4645161290323,1977.0,4.787764096129991,30.53548387096774,30.0,4.787764096130056,1.16640143981048,1.16640143981048,0.0,1.1477097174705952,0.0,3.103175898699549,1.644702842377261,1.0,3.143669233638027,0.3103019240209157,0.302579618128623,0.08036395317045329,0.25438146666715633,0.2414296847416575,0.12279154002165865,63.0671834625323,65.0,23.65170149856925,-0.2637583313755877,-0.282039425215739,0.20340763790141092,0.7762164975279728,1.0,0.40642908935018884
2008,4105.09643916914,0.0,14438.848201910627,6.574183976261128,4.0,7.3159223860273395,2180.3743315508023,1989.0,1409.6103168393572,17.47181008902077,15.0,14.558482992082142,3.9154302670623147,2.0,6.842114529956652,6.259643916913946,5.0,5.949460538999444,585.5148367952522,579.5,238.91948556348393,3.934086528377614,3.890027365830435,0.2868993867097359,271.31305637982194,273.0,88.64779924343364,632.5118694362018,629.5,250.7876341683834,3.909455607664676,2.65974698018852,2.79386886388924,46.997032640949556,37.0,41.35566738024548,11.025222551928783,9.0,9.815729501230827,0.56973293768546,0.0,1.8346275303800788,21.51038575667656,19.0,14.087100487614457,18.50593471810089,16.0,11.008876349840317,1978.9068100358422,1979.0,3.948215634182108,29.093189964157705,29.0,3.948215634182059,1.63903990547206,1.63903990547206,0.0,1.5554752978587945,0.0,3.4677815045322284,1.8649851632047478,1.0,3.9251378014729896,0.3118222830913968,0.3070689841523825,0.08713259251420694,0.2611368379174879,0.2525542726699055,0.1292723719868014,64.31899109792285,63.0,23.75032390219254,-0.2624451932208601,-0.2786791782688215,0.2091494236657565,0.8586450353011867,1.0,0.33395366095659645
2009,5070.363001745201,0.0,16135.300343306253,7.972076788830716,5.0,8.89188689185763,2225.940789473684,1868.5,1499.165870201332,18.483420593368237,14.0,16.542332456587264,3.5479930191972078,2.0,5.336234855543524,5.975567190226876,4.0,6.1734342230280985,564.958115183246,541.0,290.06365648943637,3.947178852017527,3.8816436485050847,0.39739719896055253,266.4171029668412,257.0,116.11842363886848,612.7329842931937,590.0,311.87093368454094,3.880577817221143,2.40690204961301,2.9865228264969783,47.774869109947645,39.0,40.27757618772527,10.942408376963352,8.0,9.579361143826128,0.9895287958115183,0.0,4.482666143780891,21.63525305410122,19.0,15.74095188475904,17.527050610820243,16.0,12.06833911287043,1978.9180327868853,1980.0,5.899138758281169,30.081967213114755,29.0,5.899138758281211,1.93163078210785,1.93163078210785,0.0,1.800662877253976,0.0,3.6383862220072727,1.844677137870855,1.0,3.185735324013706,0.3066961721708513,0.2987724262475965,0.08093769277096309,0.25236844590840796,0.23504912218561852,0.12683376861542373,61.88830715532286,61.0,27.892113946078283,-0.2554292697295664,-0.26431493053694,0.19464043616372773,0.8535714285714285,1.0,0.33843406183311914
2010,6837.045722713864,0.0,24317.19351438252,7.827433628318584,5.0,8.325967080198634,2178.628083491461,1912.0,1454.532243618864,18.762536873156343,15.0,17.781571810890245,3.550147492625369,2.0,4.626651166036531,5.971976401179941,5.0,6.158956388752562,547.7713864306785,512.5,397.41304812454337,3.958177537621815,3.9132710946870253,0.3488871518742467,264.2094395280236,258.0,134.81220736613267,596.4203539823009,558.5,416.1397497040796,3.4392331867399055,1.88838528960775,3.0879999255394197,48.64896755162242,37.0,44.483785476020834,10.7094395280236,8.0,9.997914079863445,0.9188790560471977,0.0,3.8445684504615696,19.451327433628318,17.0,15.254507230644746,17.97345132743363,15.0,17.814053591276497,1980.893536121673,1979.0,5.062592572485861,29.106463878326995,31.0,5.062592572485756,2.02277226152724,2.02277226152724,0.0,1.8783615959268893,0.0,3.727926249291748,1.4749262536873156,1.0,2.017308320544211,0.3173782384967909,0.314832763775947,0.08129039072185901,0.2672628767287735,0.252088013208575,0.13142849472620238,60.92035398230089,59.0,37.95939094062919,-0.24879960849690722,-0.259931742317147,0.18187136858913758,0.821656050955414,1.0,0.3834130350451093
