rep,variante,features,metric,top1,sep_top1
13,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.7001427975018464
13,"Genius, invités retirés",mfw,burrows_delta,Lacrim,-2.103903685794432
13,LRFAF (corpus publié),char,cosine_delta,Kerchak,-2.2430511440444385
13,LRFAF (corpus publié),char,burrows_delta,L’Animalerie,-2.0804188451671
13,"Genius, invités inclus",char,cosine_delta,Kerchak,-2.258912378341539
13,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.1170546659183973
13,"Genius, invités retirés",char,cosine_delta,Kerchak,-2.292396732666746
13,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.1052022562992727
14,LRFAF (corpus publié),mfw,cosine_delta,Werenoi,-2.741581063894712
14,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.0813544063842744
14,"Genius, invités inclus",mfw,cosine_delta,Werenoi,-2.745216068751755
14,"Genius, invités inclus",mfw,burrows_delta,Mister You,-2.032256190926442
14,"Genius, invités retirés",mfw,cosine_delta,Werenoi,-2.7555815978078972
14,"Genius, invités retirés",mfw,burrows_delta,Mister You,-2.051817192195343
14,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.8343520678385885
14,LRFAF (corpus publié),char,burrows_delta,L’Animalerie,-2.2094338115854693
14,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.9487057415012803
14,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.231307888939347
14,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.898856571541973
14,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.2248271972231746
15,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.721123520009106
15,LRFAF (corpus publié),mfw,burrows_delta,Dibson,-2.251462392029031
15,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.809734869475616
15,"Genius, invités inclus",mfw,burrows_delta,Dibson,-2.2483971759629076
15,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.8540598858014365
15,"Genius, invités retirés",mfw,burrows_delta,Dibson,-2.2343007491630846
15,LRFAF (corpus publié),char,cosine_delta,Kerchak,-2.402852064809436
15,LRFAF (corpus publié),char,burrows_delta,L’Animalerie,-2.1620958493155675
15,"Genius, invités inclus",char,cosine_delta,Kerchak,-2.4525045265666026
15,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.201814286064838
15,"Genius, invités retirés",char,cosine_delta,Kerchak,-2.4807758754185536
15,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.205959481570661
16,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-3.0132916063307627
16,LRFAF (corpus publié),mfw,burrows_delta,ISK,-2.2229505412251713
16,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-3.070419750173035
16,"Genius, invités inclus",mfw,burrows_delta,ISK,-2.2228752690954012
16,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-3.0560878299542016
16,"Genius, invités retirés",mfw,burrows_delta,ISK,-2.2461473569520587
16,LRFAF (corpus publié),char,cosine_delta,ISK,-2.575603656429956
16,LRFAF (corpus publié),char,burrows_delta,L’Animalerie,-2.193620139733036
16,"Genius, invités inclus",char,cosine_delta,ISK,-2.5770915542200266
16,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.232429014939999
16,"Genius, invités retirés",char,cosine_delta,ISK,-2.585402835475332
16,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.2321765069079396
17,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.7943341091374947
17,LRFAF (corpus publié),mfw,burrows_delta,ISK,-1.9412124882063215
17,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.8431767607645058
17,"Genius, invités inclus",mfw,burrows_delta,ISK,-1.9503764359125264
17,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.835789196644753
17,"Genius, invités retirés",mfw,burrows_delta,ISK,-1.962237385061261
17,LRFAF (corpus publié),char,cosine_delta,Nahir,-2.640286038845598
17,LRFAF (corpus publié),char,burrows_delta,Nahir,-2.011361966957447
17,"Genius, invités inclus",char,cosine_delta,ISK,-2.577707791817712
17,"Genius, invités inclus",char,burrows_delta,Nahir,-1.9484085532320217
17,"Genius, invités retirés",char,cosine_delta,ISK,-2.615149338649215
17,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-1.9229716257537803
18,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.5219908285171146
18,LRFAF (corpus publié),mfw,burrows_delta,Graya,-1.8802120144991943
18,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.591827437309806
18,"Genius, invités inclus",mfw,burrows_delta,GLK,-1.863757414984859
18,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.5452161089652687
18,"Genius, invités retirés",mfw,burrows_delta,GLK,-1.864194031667413
18,LRFAF (corpus publié),char,cosine_delta,Fresh laDouille,-2.4413221799739175
18,LRFAF (corpus publié),char,burrows_delta,L’Animalerie,-2.2002651482599993
18,"Genius, invités inclus",char,cosine_delta,Kerchak,-2.3834762652481207
18,"Genius, invités inclus",char,burrows_delta,L’Animalerie,-2.2399555553158748
18,"Genius, invités retirés",char,cosine_delta,Kerchak,-2.444704709411239
18,"Genius, invités retirés",char,burrows_delta,L’Animalerie,-2.2333729056008527
19,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.721780327916329
19,LRFAF (corpus publié),mfw,burrows_delta,Zkr,-2.2660498925513277
19,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.7802971818081637
19,"Genius, invités inclus",mfw,burrows_delta,Lacrim,-2.230752946651037
19,"Genius, invités retirés",mfw,cosine_delta,Rimkus,-2.714908801307887
19,"Genius, invités retirés",mfw,burrows_delta,Lacrim,-2.2261586991935194
19,LRFAF (corpus publié),char,cosine_delta,Beendo Z,-2.3777766858856975
19,LRFAF (corpus publié),char,burrows_delta,ISK,-1.9596658971666157
19,"Genius, invités inclus",char,cosine_delta,Beendo Z,-2.4638692553582087
19,"Genius, invités inclus",char,burrows_delta,ISK,-1.9141395941925348
19,"Genius, invités retirés",char,cosine_delta,Beendo Z,-2.4353663255951035
19,"Genius, invités retirés",char,burrows_delta,ISK,-1.9370983248021798
20,LRFAF (corpus publié),mfw,cosine_delta,Maes,-2.5225666745123148
20,LRFAF (corpus publié),mfw,burrows_delta,ISK,-2.1643162286519524
20,"Genius, invités inclus",mfw,cosine_delta,Maes,-2.5583977728336853
20,"Genius, invités inclus",mfw,burrows_delta,ISK,-2.1662397516492526
20,"Genius, invités retirés",mfw,cosine_delta,Maes,-2.444022344917823
20,"Genius, invités retirés",mfw,burrows_delta,ISK,-2.1792503778202734
20,LRFAF (corpus publié),char,cosine_delta,ISK,-2.3697912126634373
20,LRFAF (corpus publié),char,burrows_delta,Zkr,-1.9722059827682825
20,"Genius, invités inclus",char,cosine_delta,ISK,-2.3800019315121728
20,"Genius, invités inclus",char,burrows_delta,Zkr,-1.8463327289390377
20,"Genius, invités retirés",char,cosine_delta,ISK,-2.424271396522621
20,"Genius, invités retirés",char,burrows_delta,Zkr,-1.8598006953763149
21,LRFAF (corpus publié),mfw,cosine_delta,Rimkus,-2.933561298071022
21,LRFAF (corpus publié),mfw,burrows_delta,Panama Bende,-2.0389519716333644
21,"Genius, invités inclus",mfw,cosine_delta,Rimkus,-2.9915614273668445
21,"Genius, invités inclus",mfw,burrows_delta,Panama Bende,-2.0247989869298864
