rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
15,mfw,cosine_delta,133,494,-0.621543758154276,-3.021535090843542,AM La Scampia
15,mfw,burrows_delta,193,494,-0.335052072466069,-2.482329072759816,L’Animalerie
15,char,cosine_delta,84,494,-1.0826678863691295,-2.97889823724097,Beendo Z
15,char,burrows_delta,349,494,0.40951815564298866,-2.618664870377982,L’Entourage
16,mfw,cosine_delta,154,494,-0.5323778439808036,-3.309015458608932,Rimkus
16,mfw,burrows_delta,222,494,-0.24359522956029905,-2.3635397969599024,Lacrim
16,char,cosine_delta,63,494,-1.261551017035818,-2.5033696318352727,Kerchak
16,char,burrows_delta,340,494,0.3290979348342356,-2.4111627748155673,Zikxo
17,mfw,cosine_delta,172,494,-0.40119465193001164,-2.673435890564326,OldPee
17,mfw,burrows_delta,190,494,-0.3253528799635742,-2.29192021285604,Shtar Academy
17,char,cosine_delta,80,494,-1.0209233590394873,-2.805909369537471,OldPee
17,char,burrows_delta,355,494,0.46493682329399755,-2.238680363974938,Vin’s
18,mfw,cosine_delta,184,494,-0.24827023630963835,-3.038709397349896,Kerchak
18,mfw,burrows_delta,219,494,-0.27384455943120084,-2.1792466878327352,Panama Bende
18,char,cosine_delta,62,494,-1.195508630989226,-2.9313154964560146,Kerchak
18,char,burrows_delta,344,494,0.35852700824197226,-1.9577432902450511,L’Entourage
19,mfw,cosine_delta,136,494,-0.5862803470966214,-2.8530161370312332,AM La Scampia
19,mfw,burrows_delta,194,494,-0.3616191720667993,-2.5228250291855217,Lesram
19,char,cosine_delta,56,494,-1.2510972071490443,-2.9749053107560592,Kerchak
19,char,burrows_delta,331,494,0.3214885006333508,-2.6212787728033216,S-Crew
20,mfw,cosine_delta,159,494,-0.44599602112678094,-2.784867682777588,Kerchak
20,mfw,burrows_delta,198,494,-0.32589454135190327,-2.7899372623648584,Zkr
20,char,cosine_delta,80,494,-1.115813901538481,-2.616208865347983,Kerchak
20,char,burrows_delta,330,494,0.32496156900800616,-2.0779352008968073,Zkr
21,mfw,cosine_delta,165,494,-0.43408643146551595,-2.6401452204430917,Werenoi
21,mfw,burrows_delta,215,494,-0.26788048697866973,-2.1279706705178945,Nekfeu
21,char,cosine_delta,72,494,-1.1461658908489585,-2.494029544957462,Zkr
21,char,burrows_delta,335,494,0.3533945497375501,-2.3584980519061696,S-Crew
22,mfw,cosine_delta,135,494,-0.6380069391828205,-2.624893582180185,SCH
22,mfw,burrows_delta,188,494,-0.3707812774043414,-2.5123678515899694,Niaks
22,char,cosine_delta,54,494,-1.3542584275583436,-2.868058844441063,Beendo Z
22,char,burrows_delta,342,494,0.39574134959771157,-2.065511220856168,Nahir
23,mfw,cosine_delta,125,494,-0.6790964126213545,-2.9078954276650997,Beendo Z
23,mfw,burrows_delta,185,494,-0.38703130643207795,-2.474555511271144,Zkr
23,char,cosine_delta,67,494,-1.2067154931682473,-2.8693773179665465,Beendo Z
23,char,burrows_delta,338,494,0.39823647308058047,-2.116720498644248,Zkr
24,mfw,cosine_delta,154,494,-0.47070255670337546,-2.8177704427509433,Fresh laDouille
24,mfw,burrows_delta,203,494,-0.30680231327259516,-2.088633235904742,Swift Guad
24,char,cosine_delta,55,494,-1.2615300474006128,-2.798254474662764,Fresh laDouille
24,char,burrows_delta,332,494,0.35343905627069794,-2.348959393975702,Ademo
25,mfw,cosine_delta,148,494,-0.5222992939091287,-3.146464773294188,Fresh laDouille
25,mfw,burrows_delta,228,494,-0.20955199846900308,-2.6601077044902706,JuL
25,char,cosine_delta,53,494,-1.3145017255749953,-2.825850327021354,Beendo Z
25,char,burrows_delta,333,494,0.3346946008997366,-2.5088446582573227,JuL
26,mfw,cosine_delta,120,494,-0.7189971263206774,-3.056860525605693,Kerchak
26,mfw,burrows_delta,192,494,-0.36338266849073997,-2.224499327477626,Sofiane
26,char,cosine_delta,65,494,-1.1820412904376532,-3.1585189738526083,Kerchak
26,char,burrows_delta,328,494,0.3558796952279405,-2.2412300823470868,L’Animalerie
27,mfw,cosine_delta,160,494,-0.49645913833271144,-2.919244674644244,SCH
27,mfw,burrows_delta,204,494,-0.3254638994148044,-3.21738512371046,Vald
27,char,cosine_delta,80,494,-1.0691032477916018,-3.0387568140021077,Kerchak
27,char,burrows_delta,329,494,0.3558207765267784,-3.360071434262162,Vald
28,mfw,cosine_delta,164,494,-0.447232593951838,-2.993111092899222,SCH
28,mfw,burrows_delta,178,494,-0.4382934165398433,-2.3784526396822105,L’Animalerie
28,char,cosine_delta,96,494,-0.9635746061619621,-2.6023483860039662,SCH
28,char,burrows_delta,313,494,0.25973157619928716,-2.647686441057517,L’Animalerie
29,mfw,cosine_delta,181,494,-0.30929710353114537,-3.0958090951458965,Werenoi
29,mfw,burrows_delta,162,494,-0.4837582464446579,-2.5766366376241083,Népal
29,char,cosine_delta,69,494,-1.1572320142396264,-2.614014101285584,Beendo Z
29,char,burrows_delta,330,494,0.3234391283667135,-2.7367645018699,Rohff
