rep,features,metric,top1,distance_top1,sep_top1,marge_top1_top2
23,mfw,cosine_delta,Zkr,0.7412711103303075,-2.6219917490765896,0.014546202791128393
23,mfw,burrows_delta,Zkr,0.6432317909020909,-2.483076124442557,0.012200627441214529
23,char,cosine_delta,​DA Uzi,0.7978340004425939,-2.4644818504261075,0.00013210584783052148
23,char,burrows_delta,Lacrim,0.7429602117967332,-2.1282146792568284,0.00022243305451419282
24,mfw,cosine_delta,Hornet La Frappe,0.7451389351754596,-2.667999025375801,0.008459911071667325
24,mfw,burrows_delta,Dibson,0.6886047017534169,-1.9333757186029865,0.0018553820863720372
24,char,cosine_delta,Kerchak,0.8018354390377074,-2.45200949234787,0.0034478087513480915
24,char,burrows_delta,L’Animalerie,0.7640919831325113,-1.8881487714745187,0.003649804113700972
25,mfw,cosine_delta,Fresh laDouille,0.7350376378930525,-2.691546612134411,0.00445301386017849
25,mfw,burrows_delta,S-Crew,0.6814602626740789,-2.0621991059032294,0.010499814829639798
25,char,cosine_delta,Zola,0.8065999790629902,-2.4273150926604234,0.005399510057708556
25,char,burrows_delta,Zkr,0.7506206817116248,-2.0592255505740753,0.004406305748561379
26,mfw,cosine_delta,SCH,0.7569185998392551,-2.530243998842751,0.0002749713705763046
26,mfw,burrows_delta,Zkr,0.6758975028698928,-2.237189271910712,0.013369631648827873
26,char,cosine_delta,Beendo Z,0.8039684512093648,-2.439271553420229,0.010522330749331843
26,char,burrows_delta,Zkr,0.7518774828518899,-2.1261123464041036,0.018198624860355506
27,mfw,cosine_delta,GLK,0.7347429283125517,-2.6713633652483284,0.006381771963898442
27,mfw,burrows_delta,Timal,0.6921337122426015,-1.9163841749101491,0.00046682941508147113
27,char,cosine_delta,Beendo Z,0.8140125096730617,-2.2934214187909063,0.00033128497814571833
27,char,burrows_delta,ISK,0.7650022335433893,-1.8373959958846842,6.698903743918017e-05
28,mfw,cosine_delta,Werenoi,0.7449009077229094,-2.593810100424374,0.020009897618178618
28,mfw,burrows_delta,S-Pion,0.710309125172983,-1.8037330828985574,0.0007148898140624249
28,char,cosine_delta,Beendo Z,0.8035374286101026,-2.415949937453988,0.02222755148396982
28,char,burrows_delta,L’Animalerie,0.768588442100665,-1.8689524596439127,0.017745841794346573
29,mfw,cosine_delta,Lemon Haze,0.7565504224282069,-2.491072694096475,0.000768447583915699
29,mfw,burrows_delta,Zkr,0.6688794372804596,-2.2725277831520354,0.02413704691067886
29,char,cosine_delta,Zkr,0.7978446012799557,-2.481959115201293,0.00977302599765062
29,char,burrows_delta,Zkr,0.731912511680867,-2.316215806464856,0.03392613534080213
