rep,features,metric,rang_mikeysem,n_candidats,sep_mikeysem,sep_top1,top1
13,mfw,cosine_delta,160,493,-0.45947406088808124,-2.689758742229209,Fresh laDouille
13,mfw,burrows_delta,189,493,-0.4051635727359822,-2.5878253899238937,Zkr
13,char,cosine_delta,70,493,-1.173442895039907,-2.6196441002254756,Beendo Z
13,char,burrows_delta,339,493,0.368626194113699,-2.285520220663994,L’Animalerie
14,mfw,cosine_delta,160,493,-0.46896553505984195,-3.8215292697051924,SCH
14,mfw,burrows_delta,184,493,-0.4189143913216148,-2.398992709250866,Sofiane
14,char,cosine_delta,58,493,-1.2201387985403673,-3.119931313581461,Beendo Z
14,char,burrows_delta,347,493,0.38056386833854866,-2.3964129290333953,L’Entourage
15,mfw,cosine_delta,164,493,-0.38391829673383704,-3.2348342873227023,ISK
15,mfw,burrows_delta,196,493,-0.3497692021363341,-3.3345079102678485,Mister You
15,char,cosine_delta,81,493,-1.0810009850015383,-2.7147927343638956,Fresh laDouille
15,char,burrows_delta,342,493,0.3918782295563179,-3.1743140932151594,Mister You
16,mfw,cosine_delta,125,493,-0.6067043712329975,-2.842180990158066,SCH
16,mfw,burrows_delta,204,493,-0.2786830207345645,-2.750646673597215,Sopico
16,char,cosine_delta,53,493,-1.2916253695889408,-2.721655588869548,Beendo Z
16,char,burrows_delta,338,493,0.39942698566282614,-2.9995376946622856,Sopico
17,mfw,cosine_delta,138,493,-0.5664868464483481,-3.423320456532584,Beendo Z
17,mfw,burrows_delta,204,493,-0.30067648200500824,-2.644408034216329,Sam’s
17,char,cosine_delta,53,493,-1.310404637510625,-3.10544676011764,Beendo Z
17,char,burrows_delta,350,493,0.4239676526627236,-2.4066958312357607,L’Entourage
18,mfw,cosine_delta,160,493,-0.41165545807599546,-2.9271690351975215,Werenoi
18,mfw,burrows_delta,227,493,-0.18528089941712633,-2.576306998074388,Rohff
18,char,cosine_delta,66,493,-1.1735415263548818,-2.75159413161355,UZI (FRA)
18,char,burrows_delta,363,493,0.4198806852466443,-2.8702008121293123,Rohff
19,mfw,cosine_delta,131,493,-0.6563398786900616,-3.5086308143130434,Beendo Z
19,mfw,burrows_delta,192,493,-0.3889604427046861,-2.6763830449915718,Zkr
19,char,cosine_delta,60,493,-1.2407005916351879,-2.794753267338053,Beendo Z
19,char,burrows_delta,355,493,0.4653206262851292,-2.704724695580113,Zkr
20,mfw,cosine_delta,165,493,-0.4289657886223152,-2.8507139293735135,Dika
20,mfw,burrows_delta,191,493,-0.3810290639226294,-2.342836056228556,Mister You
20,char,cosine_delta,82,493,-1.0808345197097409,-2.5599608266643252,ISK
