,cosine_distance_char4,rang,intra_ziak,intra_other,ratio_vs_intra_ziak
Lomepal,0.13635348437448136,94,0.18989250022358428,0.15102110074675623,0.718056185546745
Benjamin Epps,0.13695215342558154,95,0.18989250022358428,0.17753826795509287,0.7212088590351413
Niaks,0.1369874958568097,96,0.18989250022358428,0.15665097635046632,0.7213949771345215
Ol’ Kainry,0.1374431284183707,97,0.18989250022358428,0.19608147547963728,0.7237944008138375
Davodka,0.13806728838403814,98,0.18989250022358428,0.1415081326947789,0.7270813129611449
Laylow,0.13816237454356606,99,0.18989250022358428,0.17437738030761474,0.7275820497433556
Werenoi,0.13816704745593367,100,0.18989250022358428,0.21605113017406097,0.7276066579420054
Denzo,0.13846084707557926,101,0.18989250022358428,0.19662128000923185,0.7291538471111388
Sinik,0.13891982043563234,102,0.18989250022358428,0.16401996224732984,0.7315708638943854
Beeby,0.1391540433741827,103,0.18989250022358428,0.17599048862530153,0.7328043140742218
​​okis,0.13940981877024983,104,0.18989250022358428,0.20132943117343938,0.7341512624569435
Demi Portion,0.13962935952526667,105,0.18989250022358428,0.14629716543295834,0.7353073942407599
Mister V,0.139987282273061,106,0.18989250022358428,0.23502530391024057,0.737192264614118
Deen Burbigo,0.14002370363228023,107,0.18989250022358428,0.22842394117989606,0.7373840644965586
Elams,0.14008160250234747,108,0.18989250022358428,0.2022192841926279,0.737688967902428
Scylla,0.14035953792240075,109,0.18989250022358428,0.11492274315339368,0.7391526140165506
UZI (FRA),0.1411909885875613,110,0.18989250022358428,0.18865615683262948,0.7435311474719614
Kamikaz,0.1418647917284931,111,0.18989250022358428,0.17171924758204204,0.7470794874018608
100 Blaze,0.14251748291613675,112,0.18989250022358428,0.1952402441771931,0.7505166488846744
IAM,0.14311656318313537,113,0.18989250022358428,0.1322899362815344,0.7536714878924985
OrelSan,0.14328432924870904,114,0.18989250022358428,0.1889870324872368,0.7545549670471577
Bosh,0.14344112209930615,115,0.18989250022358428,0.2011841323264264,0.7553806597438809
KaNoé (BEL),0.143588190679949,116,0.18989250022358428,0.18596112766369144,0.7561551430987774
SDM,0.1440998535508008,117,0.18989250022358428,0.17687261294226886,0.7588496300861485
Retro X,0.1447971796403592,118,0.18989250022358428,0.1320675073188975,0.76252184509589
Cookiesan,0.1448903167086013,119,0.18989250022358428,0.16877576392543014,0.763012317695558
Youv Dee,0.14505121353967176,120,0.18989250022358428,0.15612132861757377,0.7638596225173967
Sopico,0.1451436741898936,121,0.18989250022358428,0.17018176042592448,0.7643465330068209
F430,0.14542179833546576,122,0.18989250022358428,0.19182179389358733,0.7658111729754593
Lartiste,0.145764587495953,123,0.18989250022358428,0.20511854887432068,0.7676163477984967
Lorenzo,0.145978103862204,124,0.18989250022358428,0.15398125098649118,0.768740754323239
DTF,0.14778756713733354,125,0.18989250022358428,0.19159982814797594,0.7782696365750342
Moha La Squale,0.14782121141293958,126,0.18989250022358428,0.16190610096960256,0.7784468119535585
Zbig,0.14895623286820214,127,0.18989250022358428,0.14582970329265466,0.7844239909044184
Gambino La MG,0.14901841300921914,128,0.18989250022358428,0.19904007635702914,0.7847514400714144
Sneazzy,0.14910663052027706,129,0.18989250022358428,0.22814060641189793,0.785216005606936
Booba,0.15001941626570836,130,0.18989250022358428,0.2558942789257461,0.7900228607716032
Furax Barbarossa,0.15021576149022575,131,0.18989250022358428,0.1635973913519102,0.7910568417044268
Rounhaa,0.1503804209847086,132,0.18989250022358428,0.16521343659396348,0.7919239612288366
Joe Lucazz,0.15104644178696536,133,0.18989250022358428,0.185400535596297,0.7954313182938737
Black M,0.15277858592637394,134,0.18989250022358428,0.19883372522757103,0.8045530273522574
Jorrdee,0.15392572698550622,135,0.18989250022358428,0.22468726107660286,0.8105940298024942
Naza,0.15442729574770586,136,0.18989250022358428,0.2049636168516512,0.8132353598266346
Jazzy Bazz,0.15551188502532265,137,0.18989250022358428,0.19102178230181788,0.8189469559999419
​nelick,0.15659829061683317,138,0.18989250022358428,0.18053241028646527,0.8246681171318
Damso,0.1574537222779847,139,0.18989250022358428,0.20504272098236043,0.8291729378074156
Youssoupha,0.15834839926283983,140,0.18989250022358428,0.2244256031261357,0.8338844297504977
Guy2Bezbar,0.159100377313946,141,0.18989250022358428,0.2267744039627798,0.8378444494996756
Gambi,0.16047075455697124,142,0.18989250022358428,0.24230672865002278,0.8450610443699929
Dadju,0.16106954529398887,143,0.18989250022358428,0.17744236784063216,0.8482143586731518
Tsew The Kid,0.1611643338355211,144,0.18989250022358428,0.13636072823429846,0.8487135281581004
Younès,0.1616471745028344,145,0.18989250022358428,0.19253337756529465,0.8512562334610734
Suzuya,0.16327270304765706,146,0.18989250022358428,0.11713619705394185,0.859816490147929
Diddi Trix,0.16342896447523714,147,0.18989250022358428,0.19001051147150727,0.8606393842980197
Hyacinthe,0.16351252144233608,148,0.18989250022358428,0.18594811109579623,0.8610794067686309
47ter,0.16390801379252773,149,0.18989250022358428,0.1750686598393444,0.8631621238307897
S-Pion,0.164078330746659,150,0.18989250022358428,0.2785898030048093,0.8640590363151204
Hippocampe Fou,0.16516343484484097,151,0.18989250022358428,0.25760858302472955,0.8697733436042673
Youri,0.16580046579005447,152,0.18989250022358428,0.20873149648474287,0.8731280360985124
Heuss L’enfoiré,0.1660707989729544,153,0.18989250022358428,0.253189739510168,0.8745516477871343
Nusky,0.16608495210187535,154,0.18989250022358428,0.23880201768249054,0.8746261801088652
Maska,0.16616359176375317,155,0.18989250022358428,0.20501790334151482,0.8750403073744772
Kalash,0.16630811253412303,156,0.18989250022358428,0.2581595045774544,0.8758013736103722
Rim’K,0.16642891362133616,157,0.18989250022358428,0.24338567243487763,0.8764375287353555
Kodes,0.16775803593857264,158,0.18989250022358428,0.1982775649481915,0.883436869497479
Soolking,0.16785453397169836,159,0.18989250022358428,0.21901141655321466,0.8839450414000666
Freeze Corleone,0.168101612402208,160,0.18989250022358428,0.16230703848946648,0.8852461903670806
Kery James,0.17041013951403705,161,0.18989250022358428,0.23524209878495983,0.8974032113611217
Rockin’ Squat,0.1715176643301799,162,0.18989250022358428,0.19272142146333138,0.9032355892319635
Disiz,0.17161030635754893,163,0.18989250022358428,0.2695330547505812,0.9037234548783684
Le Juiice,0.17403958140369957,164,0.18989250022358428,0.2573679023994089,0.916516351086962
Barack,0.17411861698035613,165,0.18989250022358428,0.2410933448800633,0.9169325632942029
JeanJass,0.17455263895823658,166,0.18989250022358428,0.23992655520979345,0.9192181826702679
Alrima,0.17464988444195828,167,0.18989250022358428,0.21919059780148464,0.9197302907504038
Abou Tall,0.17492233405310997,168,0.18989250022358428,0.23547453992862066,0.9211650478410256
Vegedream,0.17560176110152614,169,0.18989250022358428,0.21396179088431566,0.9247430040405394
Volts Face,0.17571565912000553,170,0.18989250022358428,0.22766250084288742,0.925342806656995
Limsa d’Aulnay,0.17685683870473667,171,0.18989250022358428,0.2487218040969661,0.9313524151638475
Chilla,0.177291871485858,172,0.18989250022358428,0.24639662020515907,0.9336433575686772
Soprano,0.177469154786272,173,0.18989250022358428,0.24890739062262424,0.9345769557898037
VII,0.17968917158785258,174,0.18989250022358428,0.15166920146668883,0.9462678693275509
Moubarak,0.17970959372715734,175,0.18989250022358428,0.2515867531260262,0.9463754151194106
Hamza,0.18145903820988918,176,0.18989250022358428,0.19535458767548186,0.9555882301630378
KeBlack,0.18207792207418372,177,0.18989250022358428,0.24453430316682012,0.958847357635507
J9ueve,0.1827595152382021,178,0.18989250022358428,0.229295874202192,0.9624367208974361
USKY,0.1829796098817067,179,0.18989250022358428,0.20709443935122296,0.9635957695341407
Dandyguel,0.18350570440281044,180,0.18989250022358428,0.25219095555378057,0.9663662555748443
Gradur,0.18382549722705477,181,0.18989250022358428,0.2959220214840006,0.968050328531216
Lycos,0.1839407277117283,182,0.18989250022358428,0.1232096086524852,0.9686571480977489
Eddy de Pretto,0.1841809750778256,183,0.18989250022358428,0.21116336508636713,0.9699223237408862
Busta Flex,0.1861129127541553,184,0.18989250022358428,0.291012096769404,0.9800961730190566
JNR Slice,0.1861355861905496,185,0.18989250022358428,0.2934717885313075,0.9802155744507487
Gazo,0.18614512083427015,186,0.18989250022358428,0.27261853272000347,0.9802657851947714
Grand Corps Malade,0.1864134926351717,187,0.18989250022358428,0.20546820331002125,0.9816790679762691
Krisy,0.18669787554726414,188,0.18989250022358428,0.2061817503268284,0.9831766674694434
Serane,0.18675295831590155,189,0.18989250022358428,0.18215742072566188,0.9834667408982126
Abou Debeing,0.18770221510838658,190,0.18989250022358428,0.3127632282267535,0.9884656576082846
OBOY,0.18814178958977856,191,0.18989250022358428,0.25725740318287305,0.9907805172308312
Luidji,0.1895623833323017,192,0.18989250022358428,0.2506992551195175,0.9982615590879371
Spider ZED,0.1898655828877317,193,0.18989250022358428,0.19335313711859659,0.9998582496105908
PRIME,0.19137724330844608,194,0.18989250022358428,0.35801094234086095,1.007818861108857
Still Fresh,0.19138077422550537,195,0.18989250022358428,0.27251013209351993,1.0078374554032874
L’Algérino,0.19205888468893628,196,0.18989250022358428,0.28166444501623067,1.0114084782853523
Lala &ce,0.19241866092289206,197,0.18989250022358428,0.2521546161133441,1.0133031093715308
Prince Waly,0.19359642933325938,198,0.18989250022358428,0.26122833831415126,1.0195053996619876
AM La Scampia,0.19386844642396894,199,0.18989250022358428,0.30235355834701594,1.020937879040527
MHD,0.1970338141493606,200,0.18989250022358428,0.2950592888309921,1.0376071404471896
Franglish,0.20034137213409786,201,0.18989250022358428,0.19205651510601973,1.0550251952984495
Boostee,0.20071798489907555,202,0.18989250022358428,0.2245532623754214,1.0570084898705587
McFly & Carlito,0.20162265405937796,203,0.18989250022358428,0.31631280742979295,1.0617726019826075
Therapie TAXI,0.20282491384134227,204,0.18989250022358428,0.14975978930768785,1.068103867201343
Butter Bullets,0.2041661904947365,205,0.18989250022358428,0.29254808724878534,1.075167214367845
Zuukou Mayzie,0.20607834643439416,206,0.18989250022358428,0.3289055238723445,1.0852368903024197
Ateyaba,0.20755127404734797,207,0.18989250022358428,0.275864837904497,1.092993529512602
Luni Sacks,0.20974858171389388,208,0.18989250022358428,0.2757083221813348,1.1045648536247115
Nemir,0.21754828482895672,209,0.18989250022358428,0.2775227704598867,1.1456391620143491
Lonepsi,0.22024412409374894,210,0.18989250022358428,0.16058763671161047,1.159835822027873
Meryl,0.22288859838758912,211,0.18989250022358428,0.3826801198180456,1.173761987046115
Moha K,0.22693051077333815,212,0.18989250022358428,0.3021664209651733,1.1950472530834255
MRC,0.22917530658995555,213,0.18989250022358428,0.24757356215855086,1.2068686563193316
Riski,0.2509923365686526,214,0.18989250022358428,0.3480545623688259,1.3217601341449916
Ridsa,0.25372555712130684,215,0.18989250022358428,0.30787835980435607,1.3361536491570962
Odezenne,0.2595946160649891,216,0.18989250022358428,0.2831741975831277,1.3670609200433708
