rep,features,metric,rang,artiste,distance
1,mfw,burrows_delta,24,JuL,0.7427599856295294
1,mfw,burrows_delta,25,Kofs,0.743523239443496
1,char,cosine_delta,1,Beendo Z,0.7885029019638592
1,char,cosine_delta,2,Timal,0.8140893332955923
1,char,cosine_delta,3,Roshi,0.8180065796066793
1,char,cosine_delta,4,Werenoi,0.8215083975002198
1,char,cosine_delta,5,SDM,0.8239105043643055
1,char,cosine_delta,6,Lesram,0.8243746780502459
1,char,cosine_delta,7,Kerchak,0.8265277810649846
1,char,cosine_delta,8,Fresh laDouille,0.8269856255075471
1,char,cosine_delta,9,Rimkus,0.8296578366810528
1,char,cosine_delta,10,GLK,0.8327754962932024
1,char,cosine_delta,11,Lemon Haze,0.8338732914646153
1,char,cosine_delta,12,JuL,0.837620392498384
1,char,cosine_delta,13,​DA Uzi,0.8376944424000592
1,char,cosine_delta,14,UZI (FRA),0.8476878401491399
1,char,cosine_delta,15,Youri,0.8513159399280311
1,char,cosine_delta,16,Nahir,0.8539621592698463
1,char,cosine_delta,17,ASHE 22,0.856135222314592
1,char,cosine_delta,18,Koba LaD,0.8562389007288287
1,char,cosine_delta,19,Maes,0.8580123955392812
1,char,cosine_delta,20,Zola,0.8583539105992057
1,char,cosine_delta,21,SCH,0.8591464026109978
1,char,cosine_delta,22,Worms-T,0.8623613908259218
1,char,cosine_delta,23,ISK,0.8650169229294846
1,char,cosine_delta,24,Zkr,0.8657553583839591
1,char,cosine_delta,25,​​okis,0.8664118488677837
1,char,burrows_delta,1,Zkr,0.7607485244438867
1,char,burrows_delta,2,S-Crew,0.7650869930043678
1,char,burrows_delta,3,L’Animalerie,0.7656234405643674
1,char,burrows_delta,4,Leck,0.7854011666779831
1,char,burrows_delta,5,Nahir,0.7885344366834873
1,char,burrows_delta,6,Vald,0.7927146084451699
1,char,burrows_delta,7,Sam’s,0.7940488780951649
1,char,burrows_delta,8,Lacrim,0.8011246501327424
1,char,burrows_delta,9,Guizmo,0.8020964553743909
1,char,burrows_delta,10,GLK,0.8046536963975335
1,char,burrows_delta,11,Saké (FRA),0.8048637754495009
1,char,burrows_delta,12,Dibson,0.8081174472768474
1,char,burrows_delta,13,Lesram,0.8088084155224508
1,char,burrows_delta,14,Vin’s,0.8100141681039745
1,char,burrows_delta,15,Caballero,0.8145948257616156
1,char,burrows_delta,16,Zikxo,0.8160598097639546
1,char,burrows_delta,17,ISK,0.817444216866725
1,char,burrows_delta,18,Bigflo & Oli,0.8186105728348517
1,char,burrows_delta,19,SCH,0.8189267853386546
1,char,burrows_delta,20,Mokobé,0.8194407753471729
1,char,burrows_delta,21,404Billy,0.8205612418917432
1,char,burrows_delta,22,Kofs,0.821487067935874
1,char,burrows_delta,23,5 Majeur,0.8215498626018826
1,char,burrows_delta,24,Worms-T,0.8224964030455082
1,char,burrows_delta,25,Rimkus,0.822849867757458
2,mfw,cosine_delta,1,SCH,0.6723078334727995
2,mfw,cosine_delta,2,Lemon Haze,0.7341621550379434
2,mfw,cosine_delta,3,ISK,0.753458557247802
2,mfw,cosine_delta,4,Werenoi,0.7574086527803189
2,mfw,cosine_delta,5,Maes,0.7584622008565575
2,mfw,cosine_delta,6,Rimkus,0.7624476273729364
2,mfw,cosine_delta,7,Seth Gueko,0.7750513466370672
2,mfw,cosine_delta,8,GLK,0.7763386959662757
2,mfw,cosine_delta,9,​DA Uzi,0.7813853774931595
2,mfw,cosine_delta,10,Niro,0.7866389593091692
2,mfw,cosine_delta,11,ASHE 22,0.7983625822331661
2,mfw,cosine_delta,12,Worms-T,0.8083401325095221
2,mfw,cosine_delta,13,Graya,0.8090484347101091
2,mfw,cosine_delta,14,Timal,0.8100180348959767
2,mfw,cosine_delta,15,Limsa d’Aulnay,0.8106703985221345
2,mfw,cosine_delta,16,S-Pion,0.8107658027091877
2,mfw,cosine_delta,17,Mister You,0.8135617757299518
2,mfw,cosine_delta,18,Dika,0.815275781984146
2,mfw,cosine_delta,19,Fresh laDouille,0.8218806992782546
2,mfw,cosine_delta,20,Hatik,0.8226207097804619
2,mfw,cosine_delta,21,UZI (FRA),0.8244346199588296
2,mfw,cosine_delta,22,Lesram,0.8250052207357106
2,mfw,cosine_delta,23,Elh Kmer,0.828365923487687
2,mfw,cosine_delta,24,Naps,0.829372352074818
2,mfw,cosine_delta,25,YL,0.8296974519797491
2,mfw,burrows_delta,1,Zkr,0.6853399074667693
2,mfw,burrows_delta,2,ISK,0.6988028872771862
2,mfw,burrows_delta,3,SCH,0.7041125375683893
2,mfw,burrows_delta,4,Hayce Lemsi,0.7050688760998002
2,mfw,burrows_delta,5,Mister You,0.7070556620576578
2,mfw,burrows_delta,6,Zikxo,0.7071658256273602
2,mfw,burrows_delta,7,Seth Gueko,0.7152811762047318
