url,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl,d_n_french
https://genius.com/Sinik-no-time-lyrics,2,-2,0,4,-0.051457870027181496,10
https://genius.com/Jul-jsuis-pas-parti-lyrics,-4,-4,0,0,-0.0029759093056198616,2
https://genius.com/Grand-corps-malade-le-langage-du-corps-lyrics,5,-8,1,0,-0.06265606504853904,17
https://genius.com/Suzuya-dis-moi-que-tu-me-detestes-lyrics,-3,-3,0,0,-0.011417337369859393,1
https://genius.com/Fixpen-sill-edlwss-fm-lyrics,0,0,0,0,1.7763568394002505e-15,0
https://genius.com/Chiens-de-paille-seul-lyrics,-2,-4,0,0,-0.009914745463875718,4
https://genius.com/Siboy-frenchmen-saison-1-siboy-lyrics,0,0,0,0,1.3322676295501878e-15,0
https://genius.com/Luidji-monde-lyrics,-4,-4,0,0,-0.0011895557009422575,0
https://genius.com/Hugo-tsr-la-cage-lyrics,6,-10,2,0,-0.06442356059523124,20
https://genius.com/Dooz-kawa-son-de-saez-lyrics,-2,-2,0,1,-0.01523121479945555,6
https://genius.com/Nysay-il-est-temps-lyrics,-3,-4,0,0,-0.007098208919345428,4
https://genius.com/Jul-comme-au-bon-vieux-temps-lyrics,-3,-3,0,2,-0.003911559682103327,3
https://genius.com/Vii-09-aout-1969-lyrics,-3,-4,0,0,-0.007648563261621,2
https://genius.com/Denzo-bendo-lyrics,-3,-5,0,0,-0.010177249062747418,7
https://genius.com/Aloise-sauvage-toute-la-vie-lyrics,-4,-4,0,0,-0.0034205231388328983,0
https://genius.com/3010-otis-lyrics,2,-9,2,1,-0.06927926316730337,12
https://genius.com/Bridjahting-awting-2-lyrics,0,-5,0,0,-0.0491400491400511,8
https://genius.com/Retro-x-ma-vie-est-un-film-lyrics,-1,-4,0,3,-0.02581190278674006,5
https://genius.com/Al-peco-tu-te-trompes-lyrics,-4,-4,0,-1,0.00039670422307125364,0
https://genius.com/Jeanjass-president-lyrics,-4,-4,0,6,-0.0005853994490334635,0
https://genius.com/Sofiane-jesuispassechezso-episode-3-mortal-kombat-lyrics,13,-5,0,1,-0.0629704620808913,26
https://genius.com/Lucio-bukowski-sphinx-lyrics,0,0,0,0,-8.881784197001252e-16,1
https://genius.com/Salif-pai-nai-interlude-lyrics,0,0,0,0,2.220446049250313e-15,0
https://genius.com/Benjamin-epps-butter-scotch-lyrics,-2,-3,0,0,-0.01864359839042873,9
https://genius.com/Mhd-afro-trap-pt-8-never-lyrics,-4,-4,0,0,-0.0028595458368418925,1
https://genius.com/F430-booska-f-lyrics,-4,-4,0,0,-0.0033661645102212034,4
https://genius.com/Laylow-casting-lyrics,-4,-3,0,0,-0.003049162524541682,0
https://genius.com/Less-du-neuf-bouffes-par-le-systeme-lyrics,-4,-4,0,0,0.00024266690933316681,0
https://genius.com/Soul-swing-lame-soul-lyrics,-2,-4,0,0,-0.01504455127099602,4
https://genius.com/Iam-la-mort-nest-pas-une-fin-lyrics,30,-12,7,0,-0.21683090394122795,68
https://genius.com/Ateyaba-cristal-lyrics,4,-2,1,1,-0.12288439472174773,17
https://genius.com/Lord-esperanza-thunderstorm-lyrics,0,0,0,0,0.0,0
https://genius.com/Oxmo-puccino-peu-de-gens-le-savent-interlude-lyrics,0,0,0,0,2.6645352591003757e-15,0
https://genius.com/Orelsan-egotrips-et-freestyles-lyrics,1,-3,0,1,-0.025917485434177046,11
https://genius.com/Cookiesan-draken-and-mikey-lyrics,-2,-3,0,13,-0.028163093736863765,2
https://genius.com/Hayce-lemsi-barry-allen-lyrics,-2,-4,0,2,-0.011838188623086943,6
https://genius.com/Zuukou-mayzie-caliente-lyrics,0,-1,0,0,-0.04192872117400226,5
https://genius.com/Sauveur-eloheem-freestyle-atomique-lyrics,-3,-4,1,-1,-0.009888835845329957,2
