,cosine_distance_char4,rang,cosine_distance_word1,burrows_delta,n_songs,n_words,z_cosine_distance_char4,z_cosine_distance_word1,z_burrows_delta,score_agrege,rang_agrege
Hatik,0.10654393516143279,9,0.43710404081349974,0.8325985584972867,123,60824,-1.3183402836817129,-1.5465857066101925,-0.7198062296548032,-1.1949107399822363,16
Vald,0.10945895823503249,14,0.44083011895207047,0.8024481620389551,110,73563,-1.227688005034038,-1.4510952684809586,-0.8772162754712399,-1.1853331829954121,17
Zola,0.12428110883752674,57,0.44734355987451635,0.6867149618381805,65,30828,-0.7667442345561424,-1.2841714133489737,-1.4814394528103427,-1.1774517002384863,18
GLK,0.12193483156959062,48,0.4610939025735904,0.6334296991434084,82,39263,-0.8397094822771485,-0.9317831380817918,-1.7596326650859027,-1.1770417618149478,19
Kaaris,0.11919363541469297,35,0.4533885646647863,0.7020933964708551,60,32518,-0.9249560382691924,-1.1292524517896723,-1.4011512846776328,-1.1517865915788326,20
JuL,0.11412297794665416,25,0.43295084913406645,0.8398542809702602,411,284458,-1.082644894279493,-1.6530220394928676,-0.6819253477738456,-1.1391974271820688,21
Hornet La Frappe,0.11303352593399829,21,0.45923046379415366,0.7300140507287147,74,39156,-1.116525006007937,-0.979538600758072,-1.2553823402450606,-1.11714864900369,22
ASHE 22,0.12063440485821364,42,0.471673990834672,0.6333361919215174,81,37476,-0.8801505496801072,-0.6606408737694875,-1.7601208502446744,-1.100304091231423,23
Maes,0.11398613022143933,24,0.46002489801918567,0.7325528624527955,106,43905,-1.0869006266717431,-0.9591791586336876,-1.2421276399176813,-1.0960691417410373,24
SCH,0.11283191701259465,20,0.45464781150975786,0.7670227029753888,66,34821,-1.1227947018763718,-1.0969809780128728,-1.0621665178990916,-1.0939807325961122,25
Zamdane,0.12002840478706112,41,0.47250418639736724,0.6772770120923339,81,42698,-0.8989961251433541,-0.6393649544069577,-1.5307133687921806,-1.0230248161141642,26
4Keus,0.11989805963522393,40,0.4537549830037295,0.7708523328502305,58,35066,-0.9030496385209092,-1.1198620293607702,-1.0421726775231637,-1.0216947818016144,27
Hayce Lemsi,0.10684458383137452,10,0.45649434186311233,0.8358720493953652,94,52749,-1.3089906194373901,-1.0496588377078968,-0.7027158954378602,-1.0204551175277157,28
Leto,0.12173870546089793,47,0.45498483335031925,0.7636889052159983,115,64884,-0.8458086719598353,-1.0883439172703213,-1.0795717038897181,-1.0045747643732916,29
Alonzo,0.12422391496839302,56,0.46561574309166576,0.706075569293327,75,38247,-0.7685228669822817,-0.815899220417315,-1.3803610437499365,-0.988261043716511,30
Dinos,0.1151841690889911,26,0.4439062152733392,0.8780914672514212,131,71840,-1.0496436477354039,-1.3722623040283275,-0.48229556006185226,-0.9680671706085279,31
Seth Gueko,0.12081691947262319,43,0.455080161215605,0.8169581054833244,40,21004,-0.8744746544075885,-1.085900892920447,-0.8014623507913897,-0.9206126327064751,32
Beendo Z,0.1161689312096944,28,0.45001125715633883,0.8810668361821027,48,34175,-1.0190192142699654,-1.2158047359032051,-0.46676166947614633,-0.9005285398831058,33
So La Lune,0.12112528617294882,45,0.4738335616484679,0.737014157917735,116,56714,-0.8648849724950323,-0.6052962579264123,-1.2188359818956283,-0.8963390707723576,34
Timal,0.1195297383573849,38,0.48239596595540846,0.7143832617167102,86,41875,-0.9145038062127279,-0.3858623898478911,-1.3369880072858593,-0.8791180677821595,35
Soso Maness,0.12204286091444638,49,0.45755941879600537,0.8215509760010391,70,33090,-0.8363499526869085,-1.0223634726669724,-0.7774837619983174,-0.8787323957840661,36
Souffrance,0.11532364576844156,27,0.4744317513581775,0.7837877803203394,51,27616,-1.0453061593206783,-0.589966091638896,-0.9746389261265619,-0.8699703923620454,37
Koba LaD,0.11104122628188318,17,0.461096647592074,0.8797479212025924,95,54300,-1.1784821496233313,-0.9317127898475556,-0.4736474982459147,-0.8612808125722671,38
Mister You,0.12540608618780158,61,0.468952085527105,0.7619654479231314,46,27578,-0.7317593450185436,-0.7303967727870962,-1.0885695786542433,-0.850241898819961,39
Swift Guad,0.1106059040041687,16,0.4596860661426856,0.8983896868480605,74,44714,-1.1920199348910758,-0.967862606252302,-0.3763220389138024,-0.8454015266857268,40
404Billy,0.11162529654569764,19,0.45949113523207885,0.9002132356008407,97,48027,-1.1603185540124925,-0.972858217553655,-0.3668016038137092,-0.8333261251266189,41
La Fouine,0.12437592073010029,58,0.4619525858452015,0.8178102562807726,59,31071,-0.7637957453374699,-0.9097771471253489,-0.7970134177150295,-0.8235287700592827,42
Rohff,0.11695181650885489,30,0.4600453939380418,0.8782965864946423,62,37124,-0.9946728079133857,-0.9586538974344735,-0.48122466769339245,-0.811517124347084,43
Bekar,0.12220754184316951,50,0.4489509103031264,0.9053767949029066,86,44879,-0.8312286548235157,-1.242978880356614,-0.33984354681311946,-0.8046836939977497,44
Kerchak,0.13122991022427566,77,0.4597950569385142,0.8020674834205234,50,30349,-0.5506482848245915,-0.9650694337908895,-0.8792037332100291,-0.7983071506085033,45
Sam’s,0.13202047857354415,80,0.4636753945961185,0.7866694496144934,38,20283,-0.526062948627091,-0.8656256944934274,-0.9595942252634243,-0.7837609561279809,46
La Fève,0.11869887175508609,34,0.47210574186969556,0.8258415452819702,139,62431,-0.9403423498018966,-0.6495761311731431,-0.755083436084748,-0.781667305686596,47
S.Pri Noir,0.13245604153061274,83,0.46792766579957445,0.774669895559287,54,27846,-0.512517678639218,-0.7566501912534207,-1.0222418377489604,-0.7638032358805331,48
Alkpote,0.11357044155698959,23,0.4583955636472937,0.9381084792923553,77,50142,-1.0998278398323045,-1.000935087319247,-0.16895703968168477,-0.7565733222777454,49
Lesram,0.12419472673732734,55,0.4631249585862294,0.8645129386515557,37,23121,-0.7694305715146273,-0.879732048088734,-0.5531867276781238,-0.7341164490938284,50
Jarod,0.12514099620619967,60,0.45010821606464924,0.9248218798255491,55,28920,-0.740003194302799,-1.213319911835977,-0.23832409539204738,-0.7305490671769412,51
Jok’Air,0.11974669957804362,39,0.448764225617478,0.9728125094445969,105,63571,-0.9077566798489537,-1.2477631607075956,0.012226746204148506,-0.7144310314508003,52
Kalash Criminel,0.12734985096105955,67,0.4784010981389841,0.7884809643259967,61,33150,-0.6713115539026666,-0.48824126218282865,-0.9501366178276823,-0.7032298113043925,53
Bigflo & Oli,0.11944086206313254,37,0.4796073757113437,0.8411155883515203,52,45158,-0.9172677083803319,-0.45732726370874693,-0.6753402783885338,-0.6833117501592042,54
A2H,0.11794052695596569,32,0.4579052434968328,0.9569714959979982,103,42779,-0.9639255881863479,-1.0135008157473322,-0.07047646653316939,-0.6826342901556165,55
Lefa,0.12334311196165249,52,0.4765549140554115,0.8334068873980193,79,40356,-0.7959143481420352,-0.5355545284245267,-0.7155860831809447,-0.6823516532491688,56
KIK,0.11697347911481226,31,0.4567509154920222,0.9720718856092545,133,69170,-0.9939991375711961,-1.0430834715116295,0.008360076257864326,-0.6762408442749872,57
Dabs,0.1244632158260115,59,0.47953719987682797,0.8161381115698682,64,34201,-0.7610810157592417,-0.4591257018881897,-0.8057433982948521,-0.6753167053140944,58
Luv Resval,0.11925684468560072,36,0.4706181911354296,0.8937100745489892,126,65956,-0.9229903370398125,-0.6876984855822241,-0.4007534916616293,-0.6704807714278886,59
Alpha Wann,0.12787856231779582,68,0.46931675707300824,0.8602878950686617,40,24026,-0.6548695265070276,-0.7210511164705801,-0.5752449551670696,-0.6503885327148925,60
SDM,0.1440998535508008,117,0.48049275273768044,0.7152133917091862,48,27569,-0.15041485299270582,-0.4346371758978448,-1.3326540410532814,-0.639235356647944,61
Bolémvn,0.12700857892693174,65,0.46614206995715135,0.8921054780272449,80,38901,-0.6819245359447641,-0.8024107263183469,-0.40913081473775303,-0.631155359000288,62
Niska,0.13401885272172098,88,0.46001379414596777,0.8805553797885891,50,28922,-0.4639168984762328,-0.9594637242490818,-0.4694318955359378,-0.6309375060870841,63
Josman,0.13087843346362793,75,0.4681142780760218,0.8634548713872717,63,38603,-0.5615786165715282,-0.7518677665764424,-0.5587107152906243,-0.6240523661461983,64
Djadja & Dinaz,0.12164645764055182,46,0.4726769963215681,0.8990272375298787,122,56980,-0.8486774228765579,-0.6349362508850956,-0.3729934962137424,-0.6188690566584654,65
13 Block,0.128794567156707,71,0.47081036280736654,0.8715882858692418,47,27350,-0.6263833280094446,-0.6827735869443422,-0.5162475540509258,-0.6084681563349043,66
Landy,0.13110050085162084,76,0.48528833954747996,0.7887350892904251,64,31024,-0.5546726970550713,-0.31173779791266193,-0.948809874998643,-0.6050734566554588,67
Mac Tyer,0.13294567382532674,84,0.4790446168113328,0.8126704318008975,44,27405,-0.4972909438605798,-0.47174942339640696,-0.8238475592820808,-0.5976293088463559,68
Sofiane,0.13565630204974255,92,0.46717555911446873,0.8633584280579611,37,20932,-0.41299499871509116,-0.7759248801380237,-0.5592142293623696,-0.5827113694051616,69
Yaro,0.12811487862510673,69,0.47698285809985497,0.8658432563900191,59,29016,-0.6475204897418111,-0.5245873498579555,-0.5462413670606819,-0.5727830688868162,70
Benjamin Epps,0.13695215342558154,95,0.4748961744243021,0.8434388573765671,38,21340,-0.3726962164953453,-0.578064043315623,-0.6632108895036503,-0.5379903831048729,71
Mister V,0.139987282273061,106,0.4633353910465776,0.88905789217553,39,21570,-0.27830885177595077,-0.8743391692794414,-0.42504173747506946,-0.5258965861768206,72
Deen Burbigo,0.14002370363228023,107,0.48946270132446534,0.7614990107733294,29,16016,-0.27717620921316294,-0.20475892624918088,-1.0910047669683436,-0.5243133008102291,73
Roshi,0.11822790005150019,33,0.4561704005838111,1.0605087111422862,90,50667,-0.9549887718132037,-1.0579606750656303,0.4700735657721261,-0.5142919603689027,74
Benab,0.13206637728937476,81,0.48852936464541374,0.8193734574609484,81,38229,-0.5246355763312318,-0.22867810483058018,-0.788852212613404,-0.514055297925072,75
Lujipeka,0.12711691898137567,66,0.4700780630388749,0.9578748894914226,86,38526,-0.6785553438127692,-0.7015406721032239,-0.06576000413484799,-0.48195200668361365,76
100 Blaze,0.14251748291613675,112,0.49673811555868996,0.7355028356896589,49,27682,-0.19962389871059275,-0.01830752427609671,-1.226726335891259,-0.4815525862926495,77
Werenoi,0.13816704745593367,100,0.4926094819746295,0.7862893904123471,46,24387,-0.33491507055371905,-0.12411449212681078,-0.9615784491360847,-0.47353600393887146,78
3010,0.12247176136597682,51,0.4748404340038668,0.968548632990283,107,49620,-0.8230118753329487,-0.5794925364848291,-0.010034221042393031,-0.47084621095339024,79
Grems,0.12871898777112245,70,0.49323074981486614,0.8462495337049485,70,26881,-0.6287337188465129,-0.10819288875363092,-0.6485368307317488,-0.4618211461106309,80
Lacraps,0.13527222233900849,91,0.4630250937408884,0.9590853987855831,44,22752,-0.42493922697033687,-0.8822913443462663,-0.05944014284485281,-0.4555569047204853,81
Vin’s,0.12366718882906458,53,0.47859458077417194,0.9519491616271267,59,31270,-0.7858361066509214,-0.48328276670383424,-0.0966972124035239,-0.45527202858609317,82
Médine,0.12632599907961473,64,0.4770253475712404,0.9539208938612653,46,25782,-0.7031516126971474,-0.5234984467035979,-0.08640313677694168,-0.43768439872589576,83
Georgio,0.12593610253163745,62,0.477096958916151,0.9613689750344669,82,46131,-0.7152767347351543,-0.52166321983872,-0.04751798313266086,-0.42815264590217833,84
Elh Kmer,0.1348800915470183,90,0.487015397237999,0.8600420836454364,61,30287,-0.43713383021165214,-0.26747745515844695,-0.576528294424169,-0.4270465265980894,85
Roméo Elvis,0.12889478254628117,72,0.47639859837228493,0.9587272168207609,58,33044,-0.6232667991892304,-0.5395605241425748,-0.061310149415784665,-0.40804582424919666,86
Laylow,0.13816237454356606,99,0.4926784876509437,0.8420695265385567,56,26340,-0.3350603902110079,-0.12234604229307408,-0.6703599308188105,-0.37592212110763085,87
Dibson,0.13042941382567874,74,0.46967690555603125,1.0038526418513152,42,24692,-0.5755423665350518,-0.7118213753979362,0.17428195072002842,-0.3710272637376532,88
D. Ace,0.12096205598073595,44,0.4760271042618194,1.0300166545928404,92,45126,-0.8699611549109477,-0.5490810264110519,0.31087977125207783,-0.3693874700233073,89
Hooss,0.13234008401676411,82,0.4727875159248014,0.9783833269993131,78,35502,-0.5161237608523913,-0.6321038987598495,0.04131102865246673,-0.36897221031992467,90
Jack Uzi,0.13434080782643265,89,0.5010465552532535,0.8281860894367633,87,32022,-0.4539046402101868,0.09210744255684919,-0.7428429733984717,-0.36821339035060313,91
Denzo,0.13846084707557926,101,0.46337119977336405,0.9907312758830887,39,21358,-0.3257784001692188,-0.8734214775718279,0.1057775507501234,-0.36447410899697436,92
R.E.D.K.,0.13157978008122084,79,0.49361841726284483,0.8843268913808661,35,21097,-0.5397679250602171,-0.09825790266927392,-0.4497414807396347,-0.3625891028230419,93
Nekfeu,0.12626778617366508,63,0.4891794956329105,0.9395666940803703,47,28383,-0.7049619354417018,-0.2120168082799737,-0.1613439505168749,-0.3594408980795168,94
Sinik,0.13891982043563234,102,0.4881457474995645,0.8758174326481648,43,27109,-0.3115051063129162,-0.23850929139423074,-0.49416790447965947,-0.34806076739560216,95
Elams,0.14008160250234747,108,0.485476428611184,0.8841581056694746,58,28292,-0.27537565245247847,-0.30691752672336636,-0.45062268197358885,-0.34430528704981117,96
Zbig,0.14895623286820214,127,0.4932450621237464,0.7967687228245505,32,18997,0.0006103155855402971,-0.10782609863415635,-0.9068676529642895,-0.3380278120043019,97
Niaks,0.1369874958568097,96,0.48757827629896566,0.8967586825045676,45,22991,-0.3715971267650452,-0.2530522160339413,-0.38483723269544456,-0.33649552516481035,98
KaNoé (BEL),0.143588190679949,116,0.47538310829950603,0.9287181959241095,43,25016,-0.16632670136269112,-0.565585096993519,-0.21798209768606902,-0.31663129868075973,99
Kamikaz,0.1418647917284931,111,0.4732423290940173,0.9552342294917111,38,23739,-0.2199214887876722,-0.6204481290255002,-0.07954643683117028,-0.3066386848814475,100
Bosh,0.14344112209930615,115,0.49261297690495964,0.8641417730635332,51,25301,-0.17090028504149515,-0.12402492545213441,-0.5551245195176718,-0.28334991000376714,101
UZI (FRA),0.1411909885875613,110,0.48606814043677726,0.9153089207764971,53,26930,-0.24087562484190211,-0.2917533730553968,-0.2879896220736168,-0.2735395399903052,102
Kekra,0.13362800494188154,86,0.48114234977876835,0.9851569650269334,89,45127,-0.4760716022134752,-0.4179895631119432,0.07667503037447504,-0.27246204498364784,103
Fresh laDouille,0.1338743163209285,87,0.48148825397580886,0.9842908633722878,51,37720,-0.4684117356519784,-0.4091248688951954,0.07215326226678617,-0.2684611140934625,104
​​okis,0.13940981877024983,104,0.4938149485221345,0.9029319533311349,25,18874,-0.2962669883134629,-0.09322127827286314,-0.35260764510145787,-0.24736530389592795,105
Demi Portion,0.13962935952526667,105,0.49243428710453885,0.9254243677425442,56,26924,-0.28943964280167195,-0.12860431608669373,-0.23517860937002705,-0.21774085608613092,106
S-Pion,0.164078330746659,150,0.5082927756296585,0.7075359223634318,35,14332,0.47088193814338397,0.2778106760347476,-1.3727367909812858,-0.2080147256010514,107
Booba,0.15001941626570836,130,0.5194146461569686,0.7586616064760215,33,13360,0.033673517889904095,0.5628375192659097,-1.1058183678792384,-0.1697691102411415,108
Lord Esperanza,0.13306490484859923,85,0.49824848852729253,0.9689697619923033,98,50669,-0.4935830610506513,0.02039970921357288,-0.00783557879255534,-0.16033964354321126,109
Youv Dee,0.14505121353967176,120,0.4886841134564762,0.9500640631353107,73,35551,-0.12082916923381866,-0.2247122642822115,-0.10653898812860774,-0.15069347388154597,110
Beeby,0.1391540433741827,103,0.4747714422186011,1.0541496797242298,50,23231,-0.30422116976934577,-0.5812606303243378,0.4368741540082449,-0.14953588202847956,111
Sneazzy,0.14910663052027706,129,0.5002050076479292,0.8707689332326631,33,21804,0.00528742774541605,0.07054059759265618,-0.5205252535578595,-0.14823240940659577,112
Lartiste,0.145764587495953,123,0.5004256479039272,0.8986458100937523,56,27583,-0.09864444786729355,0.07619507770033224,-0.37498486340121107,-0.13247807785605745,113
Lomepal,0.13635348437448136,94,0.4868893129195315,1.0328343464760068,46,28795,-0.391313809655956,-0.27070869357158067,0.3255904570315764,-0.11214401539865342,114
Gambino La MG,0.14901841300921914,128,0.48859780515174267,0.9522261567664576,50,26607,0.002544012618978851,-0.2269241389468581,-0.09525106831605683,-0.10654373154797869,115
Lucio Bukowski,0.12396415182181397,54,0.48204609824012035,1.146349643555751,94,43218,-0.7766010607226151,-0.3948286595227807,0.9182343427888817,-0.08439845915217137,116
DTF,0.14778756713733354,125,0.5092357507795294,0.8853191547330678,56,28084,-0.035733208567036365,0.3019768654858088,-0.4445610440595432,-0.05943912904692359,117
F430,0.14542179833546576,122,0.5132462686135739,0.8899296017780901,52,24572,-0.10930460996869291,0.4047568102040144,-0.4204906912336958,-0.04167949699945811,118
Naps,0.12951418166401651,73,0.495444365239215,1.0757005436158389,154,69060,-0.6040045360793438,-0.05146323927779306,0.5493875160547517,-0.03536008643412839,119
OrelSan,0.14328432924870904,114,0.5115741250278185,0.9225164911323686,37,22884,-0.17577627703998738,0.36190378413193636,-0.250360134132691,-0.021410875680247337,120
Kemmler,0.1363097363501854,93,0.4823470018464743,1.109127705692005,55,27421,-0.3926742990890176,-0.38711722242006197,0.7239049928380048,-0.018628842890358266,121
Sopico,0.1451436741898936,121,0.496085820379094,0.9904314447383723,49,25634,-0.11795379966856005,-0.035024283874997536,0.10421218379741236,-0.01625529991538174,122
Black M,0.15277858592637394,134,0.48748479460152616,0.9963961883097535,45,25407,0.1194790194587108,-0.25544792753369705,0.13535308637731722,-0.00020527389922300743,123
Cookiesan,0.1448903167086013,119,0.5124502748291382,0.9303063692286877,41,26964,-0.12583278807163298,0.3843574003158816,-0.20969051740839048,0.01627803161195271,124
Gims,0.13141507187155244,78,0.5066486098088661,1.0452886844502283,103,47610,-0.5448900713147858,0.23567465291720713,0.39061241831307886,0.027132333305166716,125
Ol’ Kainry,0.1374431284183707,97,0.4958306446508651,1.071765227490381,48,22881,-0.35742772608151085,-0.04156382523251376,0.5288419059011146,0.04328345152902998,126
Lorenzo,0.145978103862204,124,0.5148638046696778,0.9323928939493389,97,26844,-0.09200445063896201,0.446210376378138,-0.19879712990919987,0.051802931943325366,127
Rounhaa,0.1503804209847086,132,0.47359092461421415,1.124357059140135,59,28008,0.04490015299832653,-0.6115144626568575,0.8034148336899453,0.07893350801047143,128
Gambi,0.16047075455697124,142,0.511554536901511,0.8900887462577881,41,19476,0.35869243098231585,0.361401787476559,-0.41965982521588685,0.10014479774766265,129
Youssoupha,0.15834839926283983,140,0.5033848161823178,0.9438098211381042,40,19655,0.292690777254278,0.15203145710327182,-0.13919131230908488,0.10184364068282165,130
Guy2Bezbar,0.159100377313946,141,0.5056493950268255,0.9615482581858029,46,24929,0.31607602056270623,0.21006717669856273,-0.04658197656621611,0.15985374023168428,131
Heuss L’enfoiré,0.1660707989729544,153,0.5220782330749072,0.8417018960772495,31,14003,0.5328443241301689,0.631098857952385,-0.6722792663684394,0.16388797190470483,132
Scylla,0.14035953792240075,109,0.5023274971972018,1.094538329864896,56,33405,-0.2667323317964897,0.12493490964068737,0.6477363653192172,0.16864631438780497,133
JeanJass,0.17455263895823658,166,0.514699311561963,0.831348009268206,30,13240,0.7966151768395076,0.441994812898046,-0.7263351325737867,0.17075828572125562,134
Naza,0.15442729574770586,136,0.5096743507784335,0.9809301667602217,78,35932,0.17075110148308223,0.3132171305852667,0.05460764198243735,0.1795252913502621,135
Nusky,0.16608495210187535,154,0.5099722671518366,0.914260567387254,39,15991,0.5332844624598782,0.3208520120783992,-0.29346289521152147,0.18689119310891864,136
Damso,0.1574537222779847,139,0.4940769500219482,1.0480802948280739,50,22459,0.2648678388819261,-0.0865068087750969,0.40518693702912995,0.19451598904531972,137
Davodka,0.13806728838403814,98,0.49471986449274175,1.169981946704543,38,25895,-0.33801740866726915,-0.07003045422412897,1.0416145420025245,0.2111888930370421,138
Kalash,0.16630811253412303,156,0.5225382881775562,0.8819245262108887,41,17770,0.540224373800707,0.6428889658572061,-0.4622838170235562,0.2402765075447856,139
Moha La Squale,0.14782121141293958,126,0.5103056265550568,1.064910976691265,55,32014,-0.03468692859938884,0.3293952133436868,0.49305703873303924,0.2625884411591124,140
IAM,0.14311656318313537,113,0.5029988293713319,1.1320673966662265,41,26272,-0.18099351743226602,0.14213954171062065,0.843669182746999,0.26827173567511786,141
Jorrdee,0.15392572698550622,135,0.5132424325884251,1.0643071644468785,60,21436,0.15515316278966954,0.40465850208794246,0.4899046386249754,0.3499054345008625,142
Retro X,0.1447971796403592,118,0.5086840887205492,1.181309982099448,112,42463,-0.1287291930912626,0.2878390911954639,1.1007562708015655,0.41995538963525564,143
Younès,0.1616471745028344,145,0.5016908968493996,1.1155668650286865,37,19703,0.3952770980832095,0.10862037090474602,0.7575227387143207,0.42047340256742544,144
Diddi Trix,0.16342896447523714,147,0.5052945854311879,1.092817844446145,56,27428,0.45068774732737654,0.20097425849344758,0.6387540061994488,0.43013867067342426,145
JNR Slice,0.1861355861905496,185,0.5116500942323634,0.931512484918304,28,14520,1.1568252107066854,0.3638506924780677,-0.2033935943737365,0.4390941029370056,146
Kodes,0.16775803593857264,158,0.53166208066407,0.9475767352563692,43,21714,0.5853145350650705,0.8767098653490243,-0.11952490013562819,0.4474998334261555,147
Jazzy Bazz,0.15551188502532265,137,0.5351828934584247,1.0076144535252114,32,16010,0.20447999039077222,0.9669398454516192,0.19392172390706322,0.4551138532498182,148
Maska,0.16616359176375317,155,0.529515378248494,0.9807297767892944,50,22726,0.5357300227046222,0.821695035661352,0.05356144033303565,0.47032883289967,149
Joe Lucazz,0.15104644178696536,133,0.5324352917944556,1.058951299154141,38,19407,0.06561227150542619,0.8965254105042977,0.461942585048612,0.4746934223527786,150
Furax Barbarossa,0.15021576149022575,131,0.504033825529973,1.2195178400078333,56,20561,0.039779521703490056,0.16866400871726914,1.3002329401123223,0.5028921568443605,151
Soolking,0.16785453397169836,159,0.5511824499729667,0.8862219619713616,62,26878,0.5883154603980776,1.3769700715040158,-0.43984764239865154,0.5084792965011473,152
​nelick,0.15659829061683317,138,0.511320364233709,1.1532565352002158,57,23394,0.23826536358316566,0.3554005041393064,0.954294038776857,0.5159866354997763,153
Tsew The Kid,0.1611643338355211,144,0.5261439496101892,1.0577152800793952,93,35989,0.38026157140963734,0.7352934128771694,0.45548954157189975,0.5236815086195689,154
Dadju,0.16106954529398887,143,0.520202855166751,1.088052288994633,67,36856,0.3773138083687862,0.5830374240672621,0.6138738590013848,0.5247416971458111,155
Kery James,0.17041013951403705,161,0.5325787808033866,0.9812656987426962,25,14873,0.6677904627868384,0.9002026893535298,0.0563593968824826,0.5414508496742837,156
Barack,0.17411861698035613,165,0.5121886823515531,1.0696763306562476,40,18425,0.7831178286934954,0.3776534130759654,0.5179361340045099,0.5595691252579903,157
Hyacinthe,0.16351252144233608,148,0.5283326716972626,1.0687616067755152,58,21783,0.4532862274330774,0.7913851058758417,0.5131605175984552,0.585943950302458,158
Volts Face,0.17571565912000553,170,0.5126434980491095,1.0808960410043333,26,12904,0.8327831333584069,0.3893092476056104,0.5765123163237078,0.5995348990959084,159
Hippocampe Fou,0.16516343484484097,151,0.5459815863341311,0.982475743641312,31,12577,0.5046268370983874,1.2436844212698213,0.06267683364303364,0.6036626973370808,160
Abou Tall,0.17492233405310997,168,0.524906847312596,1.0292702301529135,39,19666,0.8081120679134282,0.7035894506910272,0.30698281734469623,0.6062281119830505,161
Disiz,0.17161030635754893,163,0.5241400520633881,1.0528502266109347,41,15039,0.7051136181700947,0.6839383291688251,0.4300899323021466,0.6063806265470221,162
AM La Scampia,0.19386844642396894,199,0.5557198273306958,0.7835995543888991,33,13340,1.3973040621340267,1.4932521610721678,-0.9756216214132658,0.6383115339309763,163
Hamza,0.18145903820988918,176,0.5365329073708687,0.965174775051349,58,27483,1.0113924920117576,1.0015374612786672,-0.027648554355711893,0.661760466311571,164
Gazo,0.18614512083427015,186,0.5468422765807182,0.9076925332558418,33,18794,1.15712172197179,1.265741846177095,-0.32775347427499607,0.6983700312912963,165
Gradur,0.18382549722705477,181,0.5288874069789142,1.0098658559573221,27,15166,1.08498535793974,0.8056016394858899,0.20567590964321325,0.6987543023562811,166
Youri,0.16580046579005447,152,0.5372303141273893,1.0777934368870206,55,28029,0.5244374201691326,1.0194103223024535,0.5603141526633586,0.7013872983783149,167
47ter,0.16390801379252773,149,0.5126588406855754,1.2159132731371505,62,29346,0.4655853694389498,0.3897024425477741,1.281414115058173,0.7122339756816323,168
Soprano,0.177469154786272,173,0.5308104376249394,1.0537525327845296,47,19621,0.8873138776209505,0.8548842986507686,0.43480071799023245,0.7256662980873173,169
PRIME,0.19137724330844608,194,0.537311695088672,0.9472996537981131,25,13134,1.3198318661018156,1.0214959209826917,-0.12097149487939074,0.7401187640683723,170
L’Algérino,0.19205888468893628,196,0.5599774577607657,0.8390301358320457,34,16631,1.3410297581259354,1.6023650084253054,-0.6862280681093816,0.7523888994806197,171
KeBlack,0.18207792207418372,177,0.5286809528048733,1.0543842291036318,57,22687,1.0306387316126324,0.8003107146046572,0.4380986960672164,0.756349380761502,172
