url,lyrics_ok,lyrics_exact,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl
https://genius.com/Nepal-sundance-lyrics,True,False,-141,-5,-8,-16,0.032570974300959676
https://genius.com/Jul-coup-de-genoux-lyrics,True,False,-1165,-369,-100,-105,-0.07120950445011287
https://genius.com/Dooz-kawa-sous-la-pluie-lyrics,True,False,-321,-137,-4,-25,0.12423328694397107
https://genius.com/Dtf-bibi-lyrics,True,False,-265,-67,-17,-33,0.08525956801819046
https://genius.com/Wallen-play-lyrics,True,False,-271,-72,-5,-44,0.05786992363044918
https://genius.com/La-feve-jeune-dans-un-trou-lyrics,True,False,-213,-62,-9,-18,0.06882531882532028
https://genius.com/Kalash-criminel-arret-du-cur-lyrics,True,False,-409,-108,-13,-50,-0.2661794725238864
https://genius.com/Rockin-squat-libre-remix-lyrics,True,False,-660,-213,-13,-68,-0.47843374468790145
https://genius.com/Kalash-lafro-pour-existe-lyrics,True,False,-189,-5,-10,-23,0.04318135350644248
https://genius.com/Axiom-macha-allah-lyrics,True,False,-436,-141,-7,-59,-0.13597486472333475
https://genius.com/Souffrance-appuie-tete-lyrics,True,False,-651,-231,-44,-46,-0.09050363877654366
https://genius.com/Gradur-sauvage-lyrics,True,False,-270,-81,-11,-21,-0.3711091372518771
https://genius.com/Rimk-reste-pas-la-lyrics,True,False,-13,-10,-1,-1,-0.03801264386448677
https://genius.com/Kik-tout-pour-plaire-lyrics,True,False,-452,-104,-4,-32,0.14014922363379645
https://genius.com/Youssoupha-irreversible-lyrics,True,False,-4,-4,0,0,-0.003403263403268131
https://genius.com/Prime-jdanse-pas-lyrics,True,False,-268,-52,-30,-24,0.044160264012783834
https://genius.com/So-la-lune-kitsu-lyrics,True,False,-245,-57,-20,-25,0.02563353639878896
https://genius.com/Gims-tu-ne-le-vois-pas-lyrics,True,False,-480,-39,-39,-48,0.24872286079182837
https://genius.com/Keblack-berce-par-la-street-lyrics,True,False,-4,-24,15,-1,-0.4425877733643784
https://genius.com/Princess-anies-le-parcous-dune-larme-lyrics,True,False,-446,-138,-11,-51,0.03683636491573594
https://genius.com/Jazzy-bazz-fluctuat-nec-mergitur-lyrics,True,False,-257,-80,-5,-31,0.10031600887514092
https://genius.com/Iam-le-dragon-sommeille-lyrics,True,True,0,0,0,0,8.881784197001252e-16
https://genius.com/Friz-allo-lyrics,True,False,-405,-96,-16,-27,-0.07994287079677154
https://genius.com/Rohff-jarrive-lyrics,True,False,0,-2,0,0,-0.032659409020215246
https://genius.com/Georgio-one-shot-lyrics,True,False,-639,-192,-37,-51,0.28072133035778046
https://genius.com/Georgio-une-pluie-dor-et-de-lumiere-lyrics,True,False,-418,-139,-9,-40,0.018808016286579132
https://genius.com/Rohff-cadeaux-de-leternel-lyrics,True,False,-226,-54,-11,-28,0.062269251054849484
https://genius.com/5-majeur-gere-tes-affaires-lyrics,True,False,-633,-291,-30,-55,-0.07320338771951818
https://genius.com/Ashe-22-affaires-lyrics,True,False,-199,-60,-15,-21,-0.10450507518513907
https://genius.com/Zuukou-mayzie-haku-lyrics,True,False,-208,-60,14,-21,-0.879989495798323
https://genius.com/Jul-aghju-capitu-lyrics,True,False,-293,-123,22,-60,-0.610962847175887
https://genius.com/Lunatic-fusion-lyrics,True,False,-540,-257,-3,-59,-0.23176306897237486
https://genius.com/Sopico-unplugged-5-robotique-lyrics,True,False,-378,-145,-23,-27,-0.06781588116633097
https://genius.com/Moha-la-squale-bienvenue-a-la-banane-lyrics,True,False,-86,-5,0,-8,-0.00015888558390697582
https://genius.com/Youssoupha-apprentissage-remix-legendaire-live-lyrics,True,False,-939,-403,-40,-96,-0.10501073729420263
https://genius.com/Alkpote-libertin-lyrics,True,False,-378,-154,0,-42,-0.6865837875995107
https://genius.com/Laylow-nakre-lyrics,True,False,-268,-82,-17,-25,0.07388022044346032
https://genius.com/4keus-american-girl-lyrics,True,False,-341,-86,-28,-43,-0.18467097022834889
https://genius.com/Butter-bullets-hugo-lyrics,True,False,-284,-83,-16,-30,0.038005868349664684
https://genius.com/Medine-alger-roi-lyrics,False,False,-278,-112,-9,-46,0.04129323809956986
https://genius.com/Dtf-comme-un-fou-lyrics,True,False,-398,-116,-28,-36,-0.05159901039432979
https://genius.com/Lonepsi-solitaire-attire-par-le-monde-lyrics,True,False,-144,-60,-1,-13,0.07779069767441982
https://genius.com/Volts-face-on-ma-dit-lyrics,True,False,-323,-87,-15,-24,-0.04267107309487006
https://genius.com/Hooss-vie-de-rue-lyrics,True,False,-279,-53,-23,-15,0.011125204798897226
https://genius.com/13-block-vers-lenfer-lyrics,True,False,-260,-89,-7,-27,0.005676606123397043
https://genius.com/Eddy-de-pretto-beaulieue-lyrics,True,False,-143,-25,-13,-20,0.1342202970297004
https://genius.com/Guizmo-attendez-moi-lyrics,True,False,-363,-90,-8,-50,0.00908341278635394
